id	rmks
20200125003709A	ON SATURDAY JANUARY 25, 2020, AT APPROXIMATELY 5:15 P.M. EASTERN DAYLIGHT TIME, AN EXPERIMENTAL AMATEUR-BUILT AIRCR
20200108003329I	ON WEDNESDAY JANUARY 8, 2020, AT APPROXIMATELY 4:45 P.M. EASTERN DAYLIGHT TIME, A 1948 RYAN, MODEL: NAVION WITH REG
20200529003369I	ON MAY 29, 2020 AT APPROXIMATELY 0745 MST AIRCRAFT N3407X LANDED ON RWY 15 AT EIK WITH THE LANDING GEAR IN THE RETR
20200516003419I	SALINAS, CA (SNS): N223X, PA34, MADE A GEAR-UP LANDING ON RUNWAY 31. POB: 1, INJURIES: NONE, DAMAGE: MINOR.
20200513003449I	2020-05-13 PIPER ARROW N8265S HAD A GEAR UP LANDING AT AIRLAKE KLVN.  AFTER LANDING AT 1 A.M. THE PIC/CFI WENT HOME
20200521003409I	INVESTIGATION: THE LIT FSDO WAS NOTIFIED VIA A PHONE CALL FROM THE CHIEF PILOT OF OZARKA 141 PILOT SCHOOL ON 05/22/
20200511003459I	ON 05/11/2020 AT APPROXIMATELY 10:20 LOCAL TIME ^PRIVACY DATA OMITTED^ WAS PERFORMING A LANDING ON RUNWAY 33 AT MAR
20200107003319I	THE PILOT INITIALLY DEPARTED MINDEN-TAHOE AIRPORT (MEV), NV, FOR AURORA STATE AIRPORT (UAO), OR.  HE STOPPED FOR FU
20200409003429A	AN EXPERIMENTAL EXHIBITION HELICOPTER DEPARTING FT. MEYERS (FMY) PAGE FIELD ENROUTE TO ST. AUGUSTINE (KSGJ) SUSTAIN
20200428003439I	PILOT DEPARTED COLORADO SPRINGS, CO, (KCOS) AT 0730 MDT HEADING FOR CORTEZ, CO. \nAPPROXIMATELY 29 NAUTICAL MILES NO
20200425003519A	INVESTIGATION: OUR OFFICE WAS NOTIFIED ON APRIL 25, 2020 AT 12:08 LOCAL TIME, OF AN AIRCRAFT ACCIDENT THAT OCCURRED
20200502003489I	PILOT IN COMMAND STATEMENT:\n\n ON 5/02/2020, ^PRIVACY DATA OMITTED^ WAS COMPLETING A TEST FLIGHT IN N98VB AFTER THE 
20200501003499A	STUDENT PILOT WAS PERFORMING CROSS COUNTRY , LOCAL TO UTAH. WHILE FLYING OVER MOUNTAINS INCURRED ROUGH TURBULENCE, 
20200115003579I	ON JANUARY 15, 2020 AT APPROXIMATELY 1030 LOCAL TIME, THE PA-31-350 WAS INVOLVE IN A DUAL PROPELLER STRIKE UPON ATT
20200114003559A	PILOT STATES HE WAS FLYING FROM PALATKA AIRPORT TO SAINT JOHNS RIVER FOR A WATER LANDING AND FORGOT TO RETRACT THE 
20200118003639I	WHILE BEING PUSHED BACK FROM GATE FOR DEPARTURE.  GROUND CONTROL ASKED TO PULL FORWARD SO AS NOT TO BLOCK TWY T1.  
20200120003689I	PILOT WAS DISTRACTED FROM HIS BEFORE LANDING CHECKLIST BY A RADIO CALL FROM OXNARD TOWER CLEARING N228AL TO LAND NU
20200119003669A	PART 91 OPERATOR, OPERATING A BALLOON, AX9-14(S.2) N970TC WITH 1 PILOT AND 8 PASSENGERS ONBOARD HIT NUMEROUS TREES 
20200118003649A	ON JANUARY 18, 2020, AT APPROXIMATELY 0905 MOUNTAIN STANDARD TIME, AN AIR WOLF POWERED PARACHUTE, N260AZ, SERIAL NU
20200117003609I	ON JANUARY 17, 2020, THE CERTIFIED FLIGHT INSTRUCTOR AND HIS STUDENT (PRIVATE PILOT & AIRCRAFT OWNER) WERE CONDUCTI
20200115003589A	PILOT STATED HE HAD PERFORMED 3 FULL STOP LANDINGS AND THEN WAS GOING TO PERFORM A TOUCH AND GO. THE PILOT STATED H
20200118003629A	WHEN LANDING ON RUNWAY 36 AT WAUCHULA FL (KCHN), WHICH IS A NON-TOWERED AIRPORT, THE PILOT EXPERIENCED A RUNWAY EXC
20200117003619A	A NON CERTIFICATED PERSON OPERATED AN EXPERIMENTAL AIRCRAFT (PIEL EMERAUDE CP-301, SN 81926) FROM A GRASS STRIP AT 
20200229003769A	ON FEBRUARY 29, 2020, N1890A S/N 18-1723 A PIPER PA-18 SUPER CUB WAS ON A FLIGHT FROM SANTA YNEZ AIRPORT, IN CALIFO
20200204003789I	PILOT STATED HE DEPARTED SIOUX FALLS (FSD) IFR TO FLYING CLOUD AIRPORT (FCM), HE ENTERED THE PATTERN TO LAND AND EX
20200122003719I	PIPER SENECA V N9295N BEGAN TAKEOFF ROLL ON RUNWAY 27L. AT APPROXIMATELY 75 KNOTS, THE PILOT NOTICED THE AIRSPEED I
20200208003749I	ON FEBRUARY 8, 2020, SWIFT AIR (I5EA), THE OPERATOR OF AIRCRAFT N313XA, REPORTED THAT THE AIRCRAFT, A BOEING 737-40
20200406003849A	UPON DEPARTURE FROM THE RAMP AREA, AT APPROXIMATELY 30 FT AGL AND AT 30 KIAS, THE PILOT INDICATED THEY HEARD AND FE
20200420003879I	GAINESVILLE, FL (GNV): LN939TW, C560, GNV-NEW, DECLARED AN EMERGENCY DUE TO A CRACKED WINDSHIELD AND RETURNED TO GN
20200330003939A	INSTRUCTOR ^VOWELS^ WAS MONITORING STUDENT PILOT'S ATTEMPT AT LANDING ON RUNWAY 29. FIRST TOUCHDOWN RESULTED IN A B
20200129003949I	THE FLIGHT INSTRUCTOR WAS PREPPING HIS STUDENT FOR HIS CHECK RIDE WHICH WAS SUPPOSED TO BE THE NEXT DAY. THEY WERE 
20200407003832I	THE PILOT OF N7658M SET THE PARKING BRAKE AND HAND PROPPED THE ENGINE OF THE AIRCRAFT WITH THE PASSENGER SEATED INS
20200327003919I	THE PILOT STARTED HIS TAKEOFF ROLL IN THE GRASSY AREA BETWEEN THE RUNWAY AND THE PARALLEL TAXIWAY. WHEN THE PILOT L
20200403003859A	AIRCRAFT AND PILOT HAD NOT FLOWN SINCE JANUARY. PILOT LOOKED AT FUEL GAUGE SAW THAT FUEL INDICATOR SHOWED EMPTY, HE
20200331003969A	STUDENT PILOT WAS ON HIS THIRD SOLO FLIGHT DOING A CROSS COUNTRY. PILOT  DEPARTED FROM MILLARD, NE (MLE) AIRPORT FL
20200505003999A	PILOT ATTEMPTED TO PERFORM A TEST FLIGHT, PILOT INTENDED TO FLY 10-15 FEET ABOVE THE RUNWAY TO OBSERVE THE FLIGHT C
20200228004099A	PILOT STATES THAT HE DEPARTED WOLF LAKE AND FLEW TO BIG LAKE TO PERFORM TOUCH AND GO MANEUVERS.  PILOT HAD CARB HEA
20200115004089I	SOLO STUDENT PILOT PERFORMED TAKEOFF AND LANDING TRAINING AT BULVERDE AIRPARK (1T8) IN BULVERDE, TX.  AIRCRAFT EXPE
20200123004139I	N1290R, B14C GEAR COLLAPSED ON LANDING, PROP STRIKE.
20200102004159I	UPON APPROACHING THE AIRPORT PILOT ATTEMPTED TO EXTEND THE LANDING GEAR NORMALLY WITHOUT SUCCESS. PILOT DISCONTINUE
20200318004119A	ON MARCH 18, 2020, AT APPROXIMATELY 10:44 P.M. EASTERN STANDARD TIME (0244 UNIVERSAL TIME), A PIPER PA-28R-180 ARRO
20200419004199I	>> ON FRIDAY 10APR2020 AFTER A EVENING FLIGHT IN N62159 RETURNED TO 66Y.  UPON LANDING JUST AS WHEELS TOUCH DOWN A 
20200323004109I	ON MARCH 24, 2020 EXPERIMENTAL AIRCRAFT N47HM WAS FORCED TO MAKE A PRECAUTIONARY LANDING ON THE MOHAVE RIVER APPROX
20200107004149I	AIRCRAFT WAS ON A VFR FLIGHT INBOUND FOR LANDING RUNWAY 24, WHEN, AFTER THE AIRCRAFT TOUCHED DOWN, AS REPORTED BY T
20200120004189I	ON JANUARY 20, 2020, AT APPROXIMATELY 1800 CENTRAL DAYLIGHT TIME, A SWEARINGEN SX-300, N33SX, LANDED GEAR UP AT PEC
20200206004309A	AIRCRAFT DEPARTED KMHR AT 0530 ON AN IFR FLIGHT PLAN FOR KACV WITH THE INTENT OF CHANGING HIS DESTINATION TO KEKA W
20200301004249I	THE STUDENT PILOT DEPARTED KCOI, MERIT ISLAND AIRPORT WITH A FINAL DESTINATION OF X60, WILLISTON MUNICIPAL AIRPORT.
20200225004329I	INFORMATION GATHERED FROM CREW REPORT:\n"WHILE CONFIGURING AND SLOWING OUTSIDE OF THE WORIS INTERSECTION ON THE ILS 
20200121004299A	DURING CRUISE FROM ENTERPRISE, AL ENROUTE TO WAUCHULA, FL, AT APPROXIMATELY 10,500 FEET IN ALTITUDE, 20 MILES SSW O
20200220004289I	AIRMEN STATED THAT HE WAS FLYING IN THE VICINITY OF INDIANTOWN AIRPORT (X58) AT CRUISE WHEN THE ENGINE STARTED TO S
20200526004319I	PILOT WAS ADJUSTING FOR A LANDING WITH A CROSSWIND.  THE PILOT ALLOWED THE AIRSPEED TO SLOW, WHICH RESULTED IN A HA
20200531004239A	ON MAY 31, 2020 AT 1757 PACIFIC DAYLIGHT TIME, AN EXPERIMENTAL CUB CRAFTERS CCK-, N303KP, WAS RECORDER ON CELLPHONE
20200213004399A	^PRIVACY DATA OMITTED^ AND HIS WIFE DEPARTED FROM SPRUCE CREEK AIRPORT ON 02/13/2020 AT APPROXIMATELY 1050 HOURS, A
20200215004369A	02/15/2020 PILOT FLEW FROM WADSWORTH (3G3) TO PORTAGE COUNTY AIRPORT (POV). UPON RETURN TO 3G3 THE PILOT STATED HE 
20200201004459I	ON FEBRUARY 1, 2020, AT APPROXIMATELY 1200 CDT, N77EH, A SINUS LIGHT SPORT WAS CONDUCTING A PERSONAL FLIGHT AND LAN
20200206004439I	AIRCRAFT WAS ON APPROACH TO CLT RUNWAY 36C AT 500 FEET. AIRCRAFT WAS STRUCK BY LIGHTENING HITTING THE LEFT ENGINE.
20200220004359I	ON THE AFTERNOON OF FEBRUARY 20, 2020, CAP 5299 VEERED OFF THE LEFT SIDE OF RUNWAY 9 WHEN ATTEMPTING TO LAND AT SIG
20200213004409A	BASED ON INFORMATION PROVIDED BY PASSENGER ACCIDENT VIDEO.\nON 2-12-2020 N8649Z INITIAL APPROACH INTO OGG AIRPORT TH
20200220004349I	A PILOT OF A BEECH A36 WAS ON HIS FIRST APPROACH FOR LANDING AT THE BIG BEAR AIRPORT. JUST AS HE WAS TOUCHING DOWN,
20200213004412I	ON 02/13/2020 THE SOUTH FLORIDA FSDO WAS NOTIFIED OF AN INCIDENT INVOLVING 2 AIRCRAFT. THE FIRST AIRCRAFT N1355J WA
20200421004549A	ON APRIL 21, 2020 AT APPROXIMATELY 1445 LOCAL TIME, PILOT ^PRIVACY DATA OMITTED^ OF N314JG, GRUMMAN TIGER AIRCRAFT 
20200428004579I	THE PILOT WAS CONDUCTING TAILWHEEL INSTRUCTION.  THE AIRCRAFT WAS CONFIGURED WITH ALASKAN BUSH WHEELS.  THE RUNWAY 
20200327004479A	PILOT STATED HE WAS ATTEMPTING TO LAND RUNWAY 3 AT 6B6, WINDS REPORTED 12KTS, GUST TO 21 FROM 340. UPON TOUCH DOWN 
20200428004589A	ON 04/28/2020 AT APPROX. 1752 PST N3386T LOST POWER AND CRASHED IN A FIELD IN ACAMPO CALFORNIA. AIRCRAFT WAS DESTRO
20200410004519I	DURING LANDING PHASE OF FLIGHT, AIRCRAFT PORPOISED, HARD LANDED, SHEERING OFF NLG AND PROPELLER STRUCK RUNWAY.
20200411004529I	PILOT INDUCED HARD AND NOSE HEAVY LANDING.  THIS CAUSED DAMAGE TO NOSE WHEEL.  NO STRUCTURAL DAMAGE WAS NOTED.
20200130004699I	ON 1/29/2020 AIRCRAFT N233ND DEPARTED NEWNAN COWETA AIRPORT. ON ROTATION THE NOSE TIRE AND PART OF THE NOSE LANDING
20200419004539A	ON APRIL 19, 2020 AT APPROXIMATELY 1745, AIRCRAFT DEPARTED OAKDALE AIRPORT (O27).  PILOT STATED SHORTLY AFTER TAKE 
20200418004669I	PILOT WAS FLYING BACK FROM CAMARILLO AIRPORT.  HE WAS DESCENDING DOWN FROM 4500 FEET TO 2000 FEET WHEN HIS ENGINE Q
20200509004709I	VIDEO SHOWS AIRCRAFT N4116Y TAKING OFF IN TOW WITH GLIDER AIRCRAFT N65972 ATTACHED VIA TOW ROPE. SHORTLY AFTER TAKE
20200512004649I	-PILOT REPORTED VEERING OFF RUNWAY DURING TOUCH AND GO OPERATIONS.\n-AFTER TOUCHDOWN, THE PILOT STATED  SELECTING GE
20200509004639A	VIDEO SHOWS AIRCRAFT N4116Y TAKING OFF IN TOW WITH GLIDER AIRCRAFT N65972. SHORTLY AFTER TAKE OFF IT APPEARS THE GL
20200223004679I	FROM -9:  ATLANTA, GA (FTY): N1040C, PC24, LANDED RUNWAY 26 AND STRUCK A DEER ON THE LEFT SIDE OF AIRCRAFT RESULTIN
20200711004769I	ON JULY 11, 2020 AT AROUND 0740 CST N217PH, A ZENITH CH-750 EXPERIMENTAL AMATEUR BUILT AIRCRAFT, EXPERIENCED A NOSE
20200718004729I	NAME OF JUMPER:  ^PRIVACY DATA OMITTED^\nJUMPER EXPERIENCE:  APPROXIMATELY 180 JUMPS.\nMAIN PARACHUTE:  NEXUS MODEL, 
20200711004819A	THE PILOT WAS FLYING FROM ANN ARBOR MICHIGAN WITH HIS NEWLY PURCHASED AIRCRAFT.  HIS ONLY TRAINING IN THE Q2 AIRCRA
20200121004909I	NARRATIVE: A COMMERCIAL STUDENT WAS WITH HIS FLIGHT INSTRUCTOR PREPARING FOR A MULTI-ENGINE CHECK RIDE IN THE LAKE 
20200103004919A	THE PILOT DEPARTED FRENCH VALLEY AIRPORT (F70) AT 1:30 PM. THE ROUTE OF FLIGHT WAS BLYTHE (KBLH) THEN TO PHOENIX RE
20200509004869A	ON MAY 09, 2020 AT APPROXIMATELY 0920, AIRCRAFT N4661N, CESSNA MODEL 402C DEPARTED FALCON FIELD (FFC) IN PEACHTREE 
20200503004979A	PILOT AND OWNER SPENT 2 YEARS REWORKING THIS AIRCRAFT. THE DAY OF THE FLIGHT MANY THOUGHT HE WAS ONLY DOING TAXI TE
20200329005109I	STUDENT PILOT WAS CONDUCTING SOLO CROSS COUNTRY TRAINING FLIGHT.  ON FINAL APPROACH TO RUNWAY 27R AT SANFORD AIRPOR
20200515005059A	ON MAY 15, 2020 AT 1830 CDT, N1JA A CESSNA P210 WAS DESTROYED WHEN IT DESCENDED INTO TREES WHILE ON FINAL APPROACH 
20200513005069I	ON LANDING ROLLOUT ON RWY 30, THE NOSE LANDING GEAR COLLAPSED.
20200720005029I	DURING LANDING IN CROSSWIND ON RUNWAY 30 AT LEWISTON LWS. FLIGHT INSTRUCTOR WITH STUDENT PILOT LOSS DIRECTIONAL AND
20200408005089I	ON APRIL 8, 2020, AT APPROXIMATELY 1305 CDT, A CESSNA 172S BEARING REGISTRATION NUMBER N391SP, AFTER LANDING AIRCRA
20200710005039I	THE PILOT WAS ATTEMPTING TO LAND ON RUNWAY 22 AT KPGD, PUNTA GORDA AIRPORT.  THE PILOT SAID THAT HE HAD ALREADY ATT
20200410005079A	TAIL CAME UP AS SKI TIPS DUG INTO GROOVED PAVEMENT AND STOPPED FORWARD MOMENTUM  FLIPPING AIRCRAFT ONTO BACK.
20200317005219A	03/17/20 0945 HST THE HNL FSDO WAS NOTIFIED BY ROC THAT THERE WAS A CESSNA TYPE AIRCRAFT INVOLVED IN AN ACCIDENT AT
20200707005232I	N224NN APPEARS TO HAVE BEEN MARSHALLED USING THE INCORRECT TAXI LINE AT GATE B1, N282NN WAS PARKED AT GATE B2. N224
20200508005019A	DURING LANDING THE PROSECTIVE BUYER OF THE AIRPLANE WAS FLYING THE AIRCRAFT AND LOST CONTROL ON TOUCHDOWN. THE PIC 
20200704005229I	PILOT WAS LANDING ON RUNWAY 5 WITH A SLIGHT CROSSWIND. LOST CONTROL UPON TOUCHDOWN AND GROUND LOOPED AIRCRAFT. AIRC
20200709005199I	THE PILOT STATED HE WAS DISTRACTED BY THE BEAUTY OF THE CALM EVENING AND SIMPLY FORGOT TO PUT THE GEAR DOWN. T\nTHE 
20200312005379A	A COMMERCIAL HELICOPTER RATED PILOT TRANSITIONING TO FIXED WING WAS ON A SOLO CROSS COUNTRY FLIGHT.  THE PILOT WAS 
20200701005319A	STUDENT PILOT ON SOLO FLIGHT CAME IN FOR LANDING AND UPON TOUCHDOWN, BOUNCED, DID NOT APPLY CORRECTION AND CONTINUE
20200426005389I	EXTEND THE LANDING GEAR USING THE NORMAL METHOD AROUND 135 MPH.   NEVER RECEIVED A GREEN LIGHT ( THIS AIRCRAFT ONLY
20200513005499I	ON MAY 13, 2020 PILOT ^PRIVACY DATA OMITTED^ WHO WAS THE ONLY SOUL ONBOARD WAS FLYING N2903T IN VMC CONDITIONS. ^PR
20200430005459A	AIRCRAFT WAS PERFORMING AERIAL SURVEY ACTIVITIES NEAR HEMET, CA.  AIRCRAFT MADE A RAPID DESCENT AND IMPACTED THE GR
20200430005419A	02 MAY 2020, AFTER REFUELING THE LISTED AIRCRAFT AND PERFORMING A PREFLIGHT,  THE AIRCRAFT OWNER OPERATOR DEPARTED 
20200505005439A	ON MAY 5, 2020, THE PILOT DEPARTED HILLTOP AIRPORT, AK24, AS THE SOLE OCCUPANT OF N185SZ AT ABOUT 6:30 PM. HE HEADE
20200205005399A	ON FEBRUARY 5, 2020 AT APPROXIMATELY 18:06 HOURS LOCAL TIME AIRCRAFT N9474A A CESSNA 140A WAS FLYING FROM HARRIS RA
20200701005579I	SMOKE/ENGINE FIRE ON BASE TO FINAL LEG KMGW-KPKB. DECLARED AN EMERGENCY, LANDED, WAS ABLE TO GET FIRE UNDER CONTROL
20200506005509I	ON MAY 6, 2020, AT 1000 MST, A CESSNA 310C, N6702T, REGISTERED TO AN INDIVIDUAL, NOSE GEAR COLLAPSED ON LANDING AT 
20200508005619A	N31704 A BEECH 1900C ON MAY 8, 2020 WAS ON A FLIGHT FROM CORPUS CHRISTIE, TX (KCRP) TO SAN ANTONIO, TX (KSAT). AFTE
20200311005559A	MARCH 11, 2020, 1506 HOURS, FAA IIC RECEIVED NOTICE REGARDING A FATAL AIRCRAFT ACCIDENT JUST NORTH OF THE STERLING 
20200501005629I	FROM PIC - \nDURING A SHORT FLIGHT ON FRIDAY MAY 1, THE ENGINE BEGAN TO RUN A LITTLE ROUGH ON MY PLANE (N40309, MAUL
20200512005609A	CERTIFIED FLIGHT INSTRUCTOR (CFI) AND PRIVATE PILOT WERE INVOLVED IN AN ACCIDENT WHILE PERFORMING MULTI-ENGINE\nINST
20200403005709I	AIRMAN WAS FLYING HIS AIRCRAFT FOR THE FIRST TIME IN A COUPLE MONTHS AND WANTED TO CHECK THE ENGINE. AFTER COMPLETI
20200303005659A	ON MARCH 3, 2020 AT 8:30 AM LOCAL TIME, N9632S, AN AMERICAN CHAMPION 7GCAA,  SUSTAINED SUBSTANTIAL DAMAGE WHEN THE 
20200513005739A	I NOTICED AN OIL LEAK FROM THE PROPELLER HUB-TO-BLADE SEAL ON ONE OF THE TWO BLADES.  SANTA MONICA PROPELLER (SMP) 
20200215005689A	GROUND INCIDENT: DURING PRE-FLIGHT AND ENGINE START OPERATIONS, ENGINE STARTER DID NOT ENGAGE ENGINE, RESULTING IN 
20200424005759A	PILOT STATED WITH ONE HOUR AND FIFTEEN MINUTES INTO FLIGHT AT 900 FEET ABOVE BAY INLET, THE ENGINE BEGAN TO LOSE PO
20200422005789I	ON 4/22/2020 AT 1500, N731BH WAS ON A MAINTENANCE TEST FLIGHT AND #1 ENGINE WOULD NOT RE-START AFTER BEING SHUT DOW
20200627005799A	ON JUNE 27, 2020, AT APPROXIMATELY 1800 EASTERN DAYLIGHT TIME, A 1999 AYERS CORPORATION S2R-T34, N4032L, SUSTAINED 
20200623005839I	ON JUNE 23, 2020, AT APPROXIMATELY 1150 A.M. EASTERN DAYLIGHT TIME, A 1982 BEECHCRAFT C24R SIERRA, N1826A, SUSTAINE
20200621005859A	ON JUNE 21, 2020, A SCHWEIZER 269C BEARING THE REGISTRATION NUMBER N298TH HIT A FENCE WHILE HOVERING.  THE HELICOPT
20200422005769I	N318CG LEFT HOME BASE MANKATO, MN (KMKT) FOR HAYWARD, WI (KHYR) FLYING 50 MINUTES.  THE PIC LINED UP FOR A FULL STO
20200410005929A	^PRIVACY DATA OMITTED^ PIC OF N487J DEPARTED 2TE2 WITH ONE PASSENGER ON BOARD. \n\nN487J EXPERIENCE LOSS OF ENGINE PO
20200625005829A	THE PILOT WAS ATTEMPTING TO LAND AT THE RED WING, MN AIRPORT (RGK) NEXT  TO RUNWAY 27, STATED THAT HE BOUNCED ADDED
20200304005979I	ON MARCH 4TH 2020 AT APPROXIMATELY 1500 LOCAL TIME ^PRIVACY DATA OMITTED^  WAS FLYING N729PA (PHXA 806). THEY WERE 
20200303006019I	UPON ROLLOUT FROM LANDING, FLAT NOSE TIRE. IT WAS A PERFECTLY NORMAL SOFT LANDING. STOPPED AIRCRAFT ON RWY 22 INTER
20200618005959I	ON JUNE 18, 2020 AT KMYF AIRPORT APPROXIMATELY 13:45, N3617L NOSED OVER ON THE RAMP AFTER START UP. THE PROPELLER M
20200307005939A	AS PER THE PILOT, PLANE WAS PARKED AT NORTH RAMP AT KPDK.  DID A PRE-FLIGHT CHECKLIST.  FULLEST TANK WAS RIGHT TANK
20200318005899I	ON MARCH 18, 2020, AT 1136 PDT, N948JT MADE AN EMERGENCY LANDING ON RUNWAY 26 AT CAMARILLO AIRPORT, CAMARILLO, CA, 
20200301006099A	THE GLIDER DEPARTED RUNWAY 27 UNDER AEROTOW TO ACCOMPLISH A PLANNED PREMATURE TERMINATION OF TOW FOR A TRAINING DEM
20200502006029A	THE AIRCRAFT DEPARTED R/W 30 INTO A 20 KT HEADWIND. CLIMBING ABOVE 400' AGL, THE PILOT AND WITNESSES OBSERVED / HEA
20200502006089A	THE AIRCRAFT HAD BEEN PERFORMING ITS FIRST FLIGHT SINCE BEING RE-BUILT.  THE PILOT TOOK-OFF FROM THE GRASS NEXT TO 
20200609006119I	PILOT LOST CONTROL ON TAKE-OFF
20200613006159I	ACCORDING TO THE PILOT, HE RECEIVED INSTRUCTION BY THE SDL-ATCT PRIOR TO LANDING. DURING LANDING ROLL-OUT, THE PILO
20200519006259A	MAIN LANDING GEAR SELECTED DOWN AT OR ABOUT 3 MILE FINAL, INDICATOR REVEALED UNSAFE GEAR, CONTROLLER AND SWA CREW R
20200614006179I	PILOT HAD BEEN PRACTICING WATER LANDINGS THEN RETURNED TO THE AIRPORT. UPON LANDING, IT BECAME OBVIOUS HE FORGOT TO
20200615006189A	PILOT WAS ON APPROACH TO TWIN BRIDGES AIRPORT WHEN A HAWK FLEW INTO HIS FLIGHT PATH. THE PILOT MANEUVERED AND THE A
20200514006229A	ON 05-14-2020 AT APPROXIMATELY 03:30 AM EST, WHILE EN-ROUTE TO ITS DESTINATION IN THE TOWN OF LIVINGSTON, NEW YORK,
20200613006169I	JUNE 13, 2020, AT APPROXIMATELY 1650 EASTERN STANDARD TIME, CIVIL AIRCRAFT N858UP, A TEXTRON AVIATION INC. KING AIR
20200705006269I	UPON TOUCHDOWN THE NOSE GEAR BEGAN TO SHIMMY AND THE NOSE GEAR THEN COLLAPSED.  NTSB CLASSIFIED AS INCIDENT.
20200514006219I	DURING AN INSTRUCTIONAL FLIGHT, SHORTLY AFTER ROTATION OFF OF RUNWAY 17 AT MOUNDRIDGE AIRPORT IN THE RANS S-6, THE 
20200306006409A	THE PILOT'S PLANNED ROUTE OF FLIGHT WAS FROM MAN, TWF, 06U AND BACK TO MAN AIRPORT. THE PILOT STATED HIS INTENTIONS
20200402006369I	SKYDIVER LANDED FAST AND HARD AND BROKE ANKLE ON LANDING AS HE LOST HIS FOOTING.
20200519006279I	WHILE PERFORMING FIRST SOLO FLIGHT, AND TRYING TO CORRECT LEFT DRIFT OF AIRCRAFT, STUDENT PILOT  UPON LANDING APPLI
20200302006421I	ON MARCH 2, 2020 UNITED PARCEL SERVICES (UPS) AIRCRAFT N286UP WAS PARKED IN THE CARGO AREA WITHOUT ANY SCHEDULED CA
