c5	remark
19991022031189I	(-23) ON OCTOBER 28, 1999, MR. DENNIS SCHWANDT WAS ACTING AS PILOT OF COMMAND IN AIRCRAFT N905JW. THIS WAS THE VERY FIRST FLIGHT OF THIS EXPERIMENTAL AMATEUR BUILT AIRCRAFT.  MR. SCHWANDT WAS TAKING OFF ON RUNWAY 18 WHEN HE EXPERIENCED A SEVERE LEFT ROLLING TENDANCY OF THE AIRCRAFT, WHICH REQUIRED OVER 45 DEGREES OF RIGHT STICK INPUT.  MR. SCHWANDT WAS APPROX. 30 FEET ABOVE THE RUNWAY AND WAS IN THE AIR APPROX. 4 TO 6 SECONDS BEFORE REDUCING THE POWER AND LANDING BACK ON THE RUNWAY.  MR. SCHWANDT DECIDED NOT TO EXIT THE TAXIWAY AT THE END OF THE RUNWAY DUE TO THE EXCESSIVE ROLLOUT SPEED AND DECIDED TO TAXI ONTO THE GRASS THRESHOLD.  AFTER LEAVING THE RUNWAY THE LEFT HAND MAIN LANDING GEAR HIT SOME ROUGH DIRT WHICH CAUSED THE 4 BOLTS THAT ATTACHES THE GEAR TO THE LANDING GEAR RETRACT SYSTEM TO FAIL, WHICH CAUSED THE GEAR TO COME OFF.  THE WOODEN PROPELLER HAD ONE CRACKED BLADE, AND THE LOWER ENGINE COWLING WAS DAMAGED.
19960918037749I	NARRATIVE: THE PILOT OF THE AIRCRAFT STATED HE HAD A ROUGH RUNNING ENGINE WHEN THE ENGINE FAILED HE TRIED TO REACH THE RIO VISTA, CA AIRPORT. HE WAS UNABLE TO REACH THE RUNWAY AND SUBSEQUENTLY LANDED IN A PLOWED FIELD ADJACENT TO THE RUNWAY. THE AIRCRAFT SUSTAINED MINOR DAMAGE. ON INSPECTION THE INVESTIGATING INSPECTOR FOUND THE SINGLE FUEL TANK EMPTY.
19980402005309A	LOST POWER ON CLIMBOUT. LANDED IN TREES. CUASE POWER LOST TO BE INVESTIGATED.(.4) ON APRIL 2, 1998, ABOUT 1400 EASTERN STANDARD TIME, A BEECH F33A, D-ECTB (GERMAN), REGISTERED TO A PRIVATE INDIVIDUAL, OPERATING AS A TITLE 14 CFR PART 91 LOCAL PERSONAL FLIGHT, IMPACTED WITH TREES DURING A FORCED LANDING NEAR FORT PIERCE, FLORIDA.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED, AND NO FLIGHT PLAN WAS FILED.  THE AIRPLANE WAS DISROYED.  THE PRIVATE-RATED PILOT WAS NOT INJURED.  THE FLIGHT WAS ORIGINATING FROM THE FORT PIERCE AIRPORT AT THE TIME.  THE FLIGHT HAD DEPARTED RUNWAY 14, AND HAD REACHED AN ALTITUDE OF ABOUT 200 FEET, WHEN THE PILOT REPORTED A LOSS OF ENGINE POWER.  THE PILOT ELECTED TO MAKE A FORCED LANDING STRAIGHT AHEAD INTO TREES.  AFTER IMPACT, THE PILOT CLOSED OFF THE FUEL VALVE.  EXAMINATION OF THE WRECKAGE AFTER THE ACCIDENT REVEALED THAT THE FUEL TANKS HAD FUEL.  THE PILOT SAID THE FUEL SELECTOR WAS ON THE LEFT TANK WHEN THE LOSS OF POWER OCCURRED.OBSERVATION OF THE ENGINE AT THE CRASH SITE DID NOT REVEAL ANY OBVIOUS DISCREPANCIES.  THE ENGINE WAS REMOVED FROM THE AIRFRAME AND SHIPPED TO CONTINENTAL MOTOR'S FACILITIES, MOBILE, ALABAMA, AND EXAMINED AT THE NTSB'S REQUES T, AND UNDER THE SUPERVISION OF THE FAA, ON JUNE 24, 1998. THE ENGINE EXAMINATION REVEALED THAT THE FUEL CONTROL SYSTEM EXHIBITED FLUID LEAKAGE AT THE FUEL PUMP AND THROTTLE SHAFT.  DETAILED EXAMINATION OF THE FUEL PUMP SHOWED THAT THE PUMP LEAKED FLUID AT THE REAR HIGH SPEED ADJUSTING NEEDLE AT THE SEAL TO THE PUMP BODY.  THERE WAS NO EVIDENCE OF IMPACT DAMAGE OBSERVED ON THE FUEL PUMP.  IN ADDITION, THE THROTTLE/METERING UNIT LEAKED FLUID AT THE THROTTLE SHAFT INTO THE METERING UNIT.  THE LEAK AT THE THROTTLE SHAFT WAS SEVERE ENOUGH THAT NO FLOW TEST WAS POSSIBLE.  THE THROTTLE ARM DISPLAYED IMPACT DAMAGE.  THE THROTTLE SHAFT WAS REMOVED FROM THE UNIT, AND THE "O" RING SEAL WAS FOUND FLAT FROM WEAT.  THE RING WAS REPLACED AND THE LEAKAGE STOPPED.  THE UNIT WAS THEN FLOW TESTED TO MANUFACTUER'S STANDARDS.  NO OTHER DISCREPANCIES WERE FOUND DURING THE ENGINE EXAMINATION (SEE TCM ANALYTICAL REPORT PAGE 3).  AT THE AIRPLANE OWNER'S REQUEST, THE ENGINE WAS SHIPPED TO FORT PIERCE, FLORIDA, ON JULY 23, 1998, DIRECTLY FROM TCM, MOBILE, ALABAMA.                                                                      (-23) ENGINE LOST POWER ON TAKE OFF AND THE PILOT LANDED IN A FIELD APPROXI MATELY 1 MILE SOUTHEAST OF FORT PIERCE, ST LUCIE COUNTY INTERNATIONAL AIRPORT.
19971206037429A	RIGHT WING DELAMINATED ON CLIMBOUT. ROLLED, DOVE INTO GROUND. (-23) ON SATURDAY, DECEMBER 6, 1997, AT APPROXIMATELY 1630 EASTERN STANDARD TIME, DMSMV, A GERMAN REGISTERED D4 FASCINATION, SERIAL NUMBER 61142-B, CRASHED SHORTLY AFTER TAKING OFF FROM THE FLORIDA FLYING GATORS AIRPORT NEAR LEESBURG, FLORIDA. VISUAL METEOROLOGICAL CONDITIONS PREVAILED IN THE AREA AND NO FLIGHT PLAN HAD BEEN FILED FOR THE LOCAL PERSONAL FLIGHT. THE PRIVATE PILOT (FOREIGN BASED) CERTIFICATE NUMBER 2511971, SIEGBERT JOHANNES METZGER AND HIS PASSENGER, VINCE SALADINO, WERE BOTH FATALLY INJURED AS A RESULT OF THE ACCIDENT. THE AIRCRAFT SUSTAINED SUBSTANTIAL DAMAGE TO THE PROPELLER, ENGINE, COCKPIT, FUSELAGE, RIGHT WING, AND LEFT WING. THE EMPENNAGE SUFFERED MINOR DAMAGE. THE AIRCRAFT APPEARS TO HAVE SUFFERED A STRUCTURAL FAILURE OF THE RIGHT WING. THE RIGHT WING FABRIC COVERING WAS SEVERELY CRACKLED (TOP AND BOTTOM) AND THE INTERIOR PARTS SUCH AS THE PUSH RODE, RIBS, AND THE FLAP HINGE WERE TWISTED. SIMILAR DAMAGE WAS NOT EVIDENT IN THE LEFT WING. RIGHT WING DAMAGE MAY HAVE BEEN CAUSED BY THE WING FLUTTERING. THE RIGHT WING MAIN SPAR WAS BROKEN APPROXIMATELY ONE FOOT OUTBOARD OF THE INTERNAL DRA             G BRACE, THE RIGHT FLAP HINGE WAS FOUND APPROXIMATELY 40 FEET AWAY FROM THE IMPACT SITE. A PART OF THE WING ROOT AND A PLASTIC LENS CAP WAS DISCOVERED APPROXIMATELY A QUARTER MILE FROM THE IMPACT SITE. THESE PARTS WERE RELATIVELY UNDAMAGED AND APPEAR TO HAVE SEPARATED FROM THE AIRCRAFT IN FLIGHT. WITNESS REPORT THAT THE AIRCRAFT WAS ROLLING AND THEN WENT NOSE DOWN IN A 45 DEGREE ANGLE COMING TO REST IN AN EASTERLY DIRECTION. THE BALLISTIC RECOVERY SYSTEM (PARACHUTE) APPEARS TO HAVE PARTIALLY DEPLOYED AFTER IMPACT. THE BODY OF THE PARACHUTE WAS STILL IN THE CANISTER BUT THE ROCKET MOTOR AND STRINGERS WERE IN A TREE. THE DEPLOYMENT HANDLE WAS CUT OFF. THE PROPELLER HAD NO TORSIONAL TWISTING OR S' BENDING, PROPELLER GEARS WERE NOT SHEARED BUT WITNESSES REPORT THE ENGINE WAS TURNING. A COMPRESSION CHECK OF THE ENGINE WAS UNSUCCESSFUL DUE TO IMPACT DAMAGE. AIRCRAFT ACCELEROMETER WAS PEGGED AT 10 G'S. MANIFOLD PRESSURE GAUGE WAS AT 30 PSI. VERTICAL SPEED INDICATOR WAS A -300 FPM. ALTIMETER WAS AT -100FT AT 30.14. RUDDER AND ELEVATOR LINKAGES HAD CONTINUTIY TO THE BELL CRANK. FUEL SELECTOR SWITCH WAS OFF, NAV. SWITCH WAS OFF, AVIONICS SWITCH WAS OFF. THESE MAY HAVE BEEN TURNED OFF BY RESCUE PERSONNEL. THE ACCIDENT SCENE WAS SIGNIFICANTLY ALTERED BY RESCUE PERSONNEL WHO WERE REMOVING THE DECEASED. THE DEPUTY SHERIFF ON THE SCENE REPORTED THE AIRCRAFT DID HAVE FUEL (FUEL TANK WAS RUPTURED AND EMPTY). LOCAL RESIDENT AND WITNESS, TOM FREE, USED A FIRE EXTINGUISHER ON THE AIRCRAFT BECAUSE HE SAW SMOKE AFTER IMPACT, THE SMOKE MAY HAVE BEEN CAUSED BY THE BALLISTIC RECOVERY SYSTEM DEPLOYING.
19970326008989I	NARRATIVE: DURING LANDING AFTER AN INITIAL FLIGHT TEST OF N54WB, AN EXPERIMENTAL AMATEUR-BUILT AIRCRAFT, THE LEFT MAIN LANDING GEAR COLLAPSED. THE AIRCRAFT DEPARTED THE RUNWAY AND STRUCK A MARKER LIGHT. THERE WAS NO INJURY TO THE PILOT. THE AIRCRAFT SUSTAINED MINOR DAMAGE TO THE LEFT LOWER WING, LEFT FLAP, LEFT LANDING GEAR DOOR AND LEFT ELEVATOR. THE INVESTIGATION FOUND THE LEFT EXTENSION/RETRACT TUBE ROD END HAD FAILED IN THE CHECK NUT AREA. THE AIRCRAFT HAD SUSTAINED A HARD LANDING ON A PREVIOUS HIGH SPEED TAXI/LIFT-OFF THAT BENT THE RIGHT EXTENSION/RETRACT TUBE ROD END. THE LEFT ROD END WAS INSPECTED BUT NOT CHANGED AND THEN IT FAILED ON THE FIRST LANDING. THIS INCIDENT IS CLOSED WITH THIS REPORT.
19960530018709I	NARRATIVE: IN FLIGHT ABOUT 12 MILES FROM ACK TO HYA, THE CREW DOOR OPENED AND BLEW OFF THE AIRCRAFT. THE AIRCRAFT WAS ON A REVENUE FLIGHT AND LANDED SAFELY IN HYA.
19971008035149I	NARRATIVE: VGT ATC REPORTED PILOT WAS ON FINAL TO RUNWAY 30 WHEN HE REPORTED THAT HIS ENGINE QUIT RUNNING. HE MADE AN OFF AIRPORT LANDING ABOUT 1 MILE SOUTH OF THE FIELD. AT THE SCENE IT WAS FOUND THAT THERE WAS 1/4 TANK OF FUEL IN THE LEFT WING AND THE RIGHT WING WAS EMPTY. SUBSEQUENTLY IT WAS FOUND THAT THE VENT SYSTEM WAS CLOGGED CAUSING LACK OF FUEL TO THE ENGINE THEREFORE CAUSING IT TO QUIT RUNNING. THIS REPORT IS CLOSED.
19990521021609A	ON MAY 21, 1999, AT 1605 CENTRAL DAYLIGHT TIME, A ROBINSON R22 BETA, N215WW, PILOTED BY A PRIVATE PILOT, WAS SUBSTANTIALLY DAMAGED WHEN IT COLLIDED WITH THE TERRAIN FOLLOWING A LOSS OF CONTROL DURING A PRACTICE PINNACLE APPROACH, NEAR EAST TROY, WISCONSIN. VISUAL METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME OF THE ACCIDENT.  THE PERSONAL FLIGHT WAS CONDUCTED UNDER THE PROVISIONS OF 14 CFR PART 91 AND WAS NOT ON A FLIGHT PLAN.  THE PILOT REPORTED NO INJURIES.  THE LOCAL FLIGHT DEPARTED EAST TROY MUNICIPAL AIRPORT, EAST TROY, WISCONSIN, AT 1530, AND WAS PRACTICING FLIGHT MANEUVERS AT THE TIME OF THE ACCIDENT.                                                         (-23)DURING APPROACH TO A SPOT LANDING THE HELICOPTER DEGAN TO "SETTLE WITH POWER".  THE AIRCRAFT CONTACTED THE GROUND ON THE SKIDS AND ROLLER OVER TO THE LEFT.  MAIN ROTOR BLADES CONTACTED THE GROUND AND SEVERE THE TAILBOOM.  DAMAGE-MAIN AND TAIL ROTOR BLADES - TAIL BOOM - MAST/PLYON/HUB LH WINDSHIELD.
19980703035399A	ON JULY 3, 1998, AT APPROXIMATELY 1400 PDT, GROB N707NL, PILOTED BY COMMERCIAL PILOT, WILLIAM ALLEN WAS CONDUCTIING A ROUND ROBIN GLIDER FLIGHT ORIGINATING FROM EPHRATA,WA. WHILE ATTEMPTIN TO RETURN TO EPHRATA, THE PILOT WAS FORCED TO LAND SHORT OF HIS DESTINATION DUE TO LOSS OF LIFT AND WHILE ON FINAL APPROACH TO A PLOWED FARM FIELD HE ATTEMPTED TO GO UNDER A POWERLINE STRIKING ONE OF THE POLES. THE AIRCRAFT SUSTAINED SUBSTANTIAL DAMAGE TO THE FUSELAGE, RIGHT WING, AND CANOPY. THE PILOT WAS NOT INJURED.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   (.4)THE PILOT STATED THAT THE ACCIDENT OCCURRED WHILE HE WAS MAKING AN OFF-AIRPORT LANDING. HE ATTEMPTED TO LAND NEXT TO A ROAD IN A PLOWED FIELD.  THE TERRAIN WAS ROLLING WHEAT FIELDS, ALTERNATELY PLOWED AND IN USE.  HE STATED THAT HE WAS CIRCLING A HOUSE, LOOKING FOR LIFT, WHEN HE MADE THE DECISION TO LAND.  HE WIDENED HIS CIRCLE AND FLEW NORTH, PARALLEL TO THE ROAD.  THERE WAS NO INDICATION OF HIGH WINDS, AND HE DIDN'T HAVE TO CRAB THE AIRCRAFT TO CORRECT HIS TRACK OVER THE GROUND.  HE STATED THAT HE TURNED TOWARD THE ROAD AND AS HE PASSED THE MID-POINT OF HIS TURN TO THE INTENDED FINAL APPROACH, HE REALIZED THAT HE WAS BEING CARRIED INTO THE POWER WIRES ON THE FAR SIDE OF THE ROAD.  HE WAS AT WIRE HEIGHT AND IN ABOUT A 45 DEGREE BANK.  HE DIDN'T THINK HE COULD GET OVER THE WIRES AND DIDN'T WANT TO INCREASE BANK ANGLE, SO HE FLEW UNDER THE WIRES AT ABOUT A 30 DEGREE ANGLE TO THE ROAD.  THE RIGHT WINGTIP STRUCK THE POLE, SPINNING THE GLIDER.  HE SAID THE GLIDER CAME TO A STOP, WITH ITS TAIL POINTED 180 DEGREES FROM THE DIRECTION OF TRAVEL IN THE EDGE OF A WHEAT FIELD.  HE NOTED THAT WITHIN 30 MINUTES A THUNDERSTORM CAME THROUGH THE AREA.
19960119000739A	STALLED DURING CLIMBING TURN AFTER TAKEOFF. POWER LOSS INDICATED DUE AIR FILTER LODGED IN CARB THROAT SB NOT DONE.
19950512031239I	THREE GREENS FOR LANDING BUT NOSE WHEEL COLLAPSED ON TOUCHDOWN. NO DEFECTS FOUND.POSSIBLE INADVERTENT RETRACTION.
19971210041359I	BOTH ENGINES FLAMED OUT JUST AFTER STARTING DUE TO FUEL HIGHLY CONTAMINATED WITH WATER. AIRCRAFT HAD JUST REFUELED.
19991123033339I	(-23) THE PILOT RUSHED THE DESCENT, DID NOT USE THE CHECKLIST, AND FORGOT TO LOWER THE LANDING GEAR. INCIDENT #CE2000IBA0010 IS CLOSED.
19970310012969I	NARRATIVE: PILOT STATED THAT GEAR INDICATED DOWN AND LOCKED. ON FULL STOP LANDING GEAR COLLAPSED AS BRAKES WERE APPLIED. AIRWORTHINESS INSPECTOR FOUND NO DEFECT WITH LANDING GEAR. UPON APPLICATION OF A/C POWER LEFT LANDING GEAR LIGHT WAS GREEN, GEAR HORN SOUNDED, HYDRAULIC PUMP ACTUATED AND LANDING GEAR EXTENDED NORMALLY. INITIAL INSPECTION OF RECOVERY CREW SHOWED THAT RIGHT MAIN LOCKING PAWLS WERE NOT ENGAGED AND NOSE GEAR WAS NOT EXTENDED.
19970111002729I	LOW ON FUEL. GOT VECTORS TO WJF. LANDED SAFELY. STRONGER HEADWIND THAN EXPECTED. FAILED LAND PRIOR FUEL CRITICAL.
19980730029109I	A/C WAS LANDING AT DELTA CO. (BLAKE FIELD) WHEN PILOT HEARD A POP AS HE TOUCHED DOWN. THE LEFT MAIN GEAR COLLPASED THE A/C SKIDDED OFF THE RUNWAY INTO SOME BRUSH. THERE WERE NO INJURIES AND ONLY MINOR DAMAGE TO THE A/C,.
