c5	remark
20150104000019I	N1152L WAS ON A VFR PART 91 FLIGHT FROM UVALDE TEXAS (KUVA) TO JACK BROOKS REGIONAL AIRPORT, BEAUMONT TEXAS (KBPT). AFTER THE LANDING AND DURING THE ROLL OUT, THE PILOT MADE A RIGHT TURN TOWARD TAXIWAY ECHO. UPON TURNING, ALL THREE GEAR COLLAPSED.
20150104000089A	ON JANUARY 4, 2015 AT APPROXIMATELY 16:00 HOURS, A 2004 RAYTHEON A36, N349EA SUSTAINED SUBSTANTIAL DAMAGE FOLLOWING A LOSS OF ALTITUDE AND IMPACTING THE GROUND.   THE PILOT REPORTED TO ATC THAT HE HAD LOST HIS AUTOPILOT. THE AIRCRAFT WAS OBSERVED ENTERING A TIGHT SERIES OF TURNS ACCOMPANIED BY ALTITUDE AND SPEED FLUXUATIONS.  THE AIRCRAFT LOST ALTITUDE, IMPACTED THE GROUND RIGHT WING LOW, BOUNCED ONCE AND CAME TO REST IN A GROUP OF PREVIOUSLY CUT TREES.  THE PRIVATE PILOT WAS THE ONLY OCCUPANT OF THE AIRCRAFT AND WAS SERIOUSLY INJURED.  THE AIRCRAFT IS REGISTERED TO BLACK GOLD AVIATION LLC OF NORRIS CITY, IL.  THE FLIGHT WAS OPERATING UNDER THE PROVISIONS OF 14 CFR, PART 91.  INSTRUMENT METEOROLOGICAL CONDITIONS PREVAILED AT THE TIME OF THE ACCIDENT. LIGHT SNOW AND FOG REPORTED IN THE VICINITY.
20150104000259A	PILOT STATED: ON JANUARY 4TH,2015 IN THE EARLY PART OF THE MORNING I CHECKED THE WEATHER ON THE COMPUTER FOR MY DESTINATION I.E.KFFZ TO KSEZ. THE WIND WAS 7 KNOTS AT FALCON AND 10 MILES OF VISIBILITY. IN SEDONA THE WIND WAS CALM AND ALSO 10 MILES OF VISIBILITY. ALL INDICATION THAT I WOULD HAVE GOOD WEATHER TO FLY. ITHEN WENT TO FALCON AIRPORT AND ARRIVED AT 8:30A.M.   AFTER DOING MY USUAL PLANE CHECK AT FALCON, I TOOK OFF FROM FALCON AIRPORT, NORTHBOUND TO SEDONA. FLIGHT WAS UN-EVENTFUL,EVERY 15 MINUTES DURING THE FLIGHT I CHECKED THE WEATHER INFORMATION.  I STARTED TO TUNE ONTO SEDONA FREQUENCY 40 MILES FROM THE SOUTH. ALL PILOT CONVERSATIONS WERE ALL TAKEOFFS AND LANDINGS WERE BEING MADE ON RUNWAY 21. SOUNDED VERY UNUSUAL TO ME BECAUSE WITH WIND CLAM WE USE  RUNWAY 3 ON LANDING AND RUNWAY 21ON TAKEOFF.  BECAUSE EVERYONE WAS LANDING ON RUNWAY 211 MADE THE DECISION TO FOLLOW ALL OTHERS. I MADE ALL MY CALLS IN MID? FIELD,DOWNWIND,BASE AND FINAL AND TOUCHED GROUND AND NEEDED TO APPLY THE BRAKES. AT THE SAME TIME THAT I STARTED TO TOUCH THE BRAKES,I BUMPED ONTO SOMETHING ON THE RUNWAY,MAYBE A PIECE OF ICE OR SOMETHING ELSE. PLANE STARTED TO SWERVE TO THE LEFT.  I TRIED TO BALANCE PLANE BACK TO ENTER BUT IT WOULD NOT ALLOW ME TO UNTIL I WENT OFF THE RUNWAY AND BACK ON.
20150104001019A	PILOT OVERSHOT BASE TO FINAL TURN AND LOST CONTROL OF AIRCRAFT TRYING TO CORRECT.  AIRCRAFT DEPARTED RUNWAY AND CRASHED THROUGH AIRPORT PARAMETER FENCE.
20150105000069I	STARBOARD (RH FLAP DOOR) AFT CABIN DOOR POPPED OPEN INFLIGHT AND IMPACTED THE STARBOARD CARGO DOOR AND SURROUNDING FUSELAGE AREA BREAKING THE PLEXIGLAS WINDOW.  ON JANUARY 8, 2015, HOSPITAL WING N859HW, AN EC-130-B4 WAS PERFORMING A PEDIA-FLIGHT TRANSFER FROM WEST POINT, MISSISSIPPI TO MEMPHIS, TENNESSEE. SOMETIME DURING THE TRANSIT, A FLIGHT NURSE STATED THAT SHE FELT COOL RUSHING AIR STRIKING HER FACE WHERE UPON SHE INVESTIGATED AND NOTICED THE RH FLAP DOOR (PART NUMBER: C521C2101053, SERIAL NUMBER: TB5452) WAS OPEN ABOUT (3) INCHES AT THE TOP. SHE NOTIFIED THE PILOT OF THE SITUATION AND HE IMMEDIATELY SLOWED THE AIRCRAFT DOWN AND INITIATED A DECENT FOR AN EMERGENCY LANDING IN A SAFE SUITABLE LANDING ZONE. SHORTLY AFTER PILOT INITIATED EMERGENCY DESCENT, THE RH FLAP DOOR POPPED OPEN INFLIGHT AND IMPACTED THE SKID AND PUSHED IT WAY PAST THE STARBOARD SKID WHERE IT IMPACTED THE STARBOARD CARGO DOOR AND SURROUNDING FUSELAGE AREA. UPON IMPACT WITH THE STARBOARD CARGO DOOR FORWARD HINGE, THE PLEXIGLAS WINDOW SHATTERED. THE PILOT CONTINUED TO DESCEND AND MADE A SAFE LANDING IN FIELD NEAR A LOCAL ROAD.   THE PILOT NOTIFIED HOSPITAL WING DISPATCH OF THE CURRENT SITUATION WHEREUPON ANOTHER HELICOPTER WAS DISPATCHED WITH MAINTENANCE PERSONNEL ONBOARD TO RECOVER THE DISABLED AIRCRAFT. THE PATIENT WAS TRANSFERRED TO THE RECOVERY AIRCRAFT ALONG WITH THE ORIGINAL CREW AND THE PEDI-FLIGHT CONTINUED ONTO ITS DESTINATION. THE MAINTENANCE PERSONNEL INSPECTED THE AIRCRAFT AND MADE THE DETERMINATION THAT THE AIRCRAFT WAS ?SAFE FOR FLIGHT? AND THE DISABLED AIRCRAFT WAS REPOSITIONED TO HOSPITAL WING MAIN BASE OF OPERATIONS AT (2TN0) EASTMORELAND AVENUE IN MEMPHIS, TN.
20150105000119A	ON DECEMBER 05, 2014 AT 1531 EASTERN DAYLIGHT TIME, A CESSNA CE-172 M AIRCRAFT, N6591H, REGISTERED TO AND OPERATED BY A PRIVATE PILOT, RECEIVED SUBSTANTIAL DAMAGE WHEN IT ABORTED TAKEOFF FOLLOWING A LOSS OF DIRECTIONAL CONTROL WHILE DEPARTING RUNWAY 01 AT THE SAWYER INTERNATIONAL AIRPORT, (KSAW) MARQUETTE, MI. VISUAL METEOROLOGICAL CONDITIONS AND MODERATE CROSS WINDS PREVAILED AT THE TIME OF THE ACCIDENT. THE PERSONAL FLIGHT WAS BEING CONDUCTED UNDER THE PROVISIONS OF TITLE 14 CODE OF FEDERAL REGULATIONS (CFR) PART 91 WITHOUT A FLIGHT PLAN.  THE PILOT WAS NOT INJURED. THE LOCAL FLIGHT ORIGINATED FROM THE SAWYER INTERNATIONAL AIRPORT AT APPROXIMATELY 1531L.  ACCORDING TO THE PILOT HE WAS DEPARTING RUNWAY 01.  AT APPROXIMATELY 40 KTS ON THE TAKEOFF ROLL, A GUST OF WIND TURNED THE AIRCRAFT 45 DEGREES WEST OFF THE RUNWAY HEADING. THE PILOT STATED THAT HE APPLIED FULL CROSS WIND CONTROL INPUT TO NO AVAIL.  THE AIRCRAFT WAS BELOW THE ROTATION SPEED SO THE PILOT ELECTED TO ABORT THE TAKEOFF.   THE AIRCRAFT DEPARTED THE LEFT SIDE OF THE RUNWAY AND CAME TO REST APPROXIMATELY 50FT. INTO THE SNOW DRIFTS.  THE NOSE-WHEEL WAS SHEARED OFF AND THE AIRCRAFT FLIPPED ONTO ITS BACK. THE RUNWAY WAS COVERED WITH SANDED PATCHY ICE AND SNOW AT THE TIME OF THE ACCIDENT WITH A MU READING OF 29. WINDS WERE BECOMING GUSTY DURING THAT AFTERNOON.    WEATHER REPORT AT KSAW AIRPORT AT 2033 UTC WAS: WIND 260 DEGREES AT 9KNOTS, VISIBILITY 10 STATUTE MILES, CLEAR, TEMP -17 DEW POINT -24 AND ALTIMETER 3025.  RUNWAY O1 MU READING AT 1509L WAS 29 WITH PATCHY SNOW AND ICE FOR TAKEOFF PORTION OF THE RUNWAY.
20150105000269I	INSTRUCTOR NOTICED WHITE SMOKE COMING FROM UNDER THE RIGHT SIDE OF THE INSTRUMENT PANEL.  THE SMOKE LASTED FOR ABOUT 45-60 SECONDS IN DURATION.  INSTRUCTOR DECLARED AN EMERGENCY AND WAS CLOSEST TO LUKE AFB.  AIRCRAFT LANDED WITHOUT INCIDENT AT LUKE.  THE SQUAWK SHEET WAS PROPERLY FILLED OUT AND A MECHANIC WAS SENT TO LUKE AFB TO TROUBLE SHOOT THE AIRCRAFT.  COPIES WERE MADE OF THE LOGBOOK ENTRIES RELATED TO THE INCIDENT.  MECHANIC WAS NOT ABLE TO FIND ANY BURNED OR SCORCHED WIRING, OR ANY OTHER REASON SMOKE WOULD HAVE COME FROM UNDER THE INSTRUMENT PANEL.  THE LAST MAINTENANCE PERFORMED IN THE AREA WAS OVER 25 FLIGHT HOURS AGO, AND THE AIRCRAFT HAD FLOWN WITHOUT INCIDENT FOR 3 DAYS PRIOR TO THE FAA GATHERING LOGBOOK ENTRIES AND PILOT STATEMENTS.
20150105000399I	PILOT STATED AIRCRAFT TOUCHED DOWN (ON MAIN GEAR- SKIS) LANDING TO THE WEST AT SNETTISHAM AIRPORT (7AK2) WITH NORTH WIND OF 9 KTS (RT X WIND). A  STRONG WIND GUST EXPERIENCED FROM SOUTH (LEFT X WIND) AS TAIL SETTLED ONTO RWY SURFACE (ICE OVER FROZEN GRANULAR SNOW). AIRCRAFT IMMEDIATELY VEERED TO LEFT AND EXITED LANDING SURFACE AT SLOW SPEED. FULL RIGHT RUDDER INITIATED BY PIC WAS INEFFECTIVE IN COUNTERING A/C DIRECTIONAL CHANGE INTO WIND. CONTRIBUTING FACTOR: SKIS DID NOT PENETRATE ICY SURFACE.
20150105001349I	THE LANDING GEAR COLLAPSED ON ROLL OUT
20150106000049A	UPON DEPARTURE FROM RWY 24 AT HKY, PILOT DESCRIBED A LOUD 'BANG' AND ENGINE POWER LOSS.  AIRCRAFT CRASHED APPROXIMATELY 1/2 MILE FROM AIRPORT IN RESIDENTIAL AREA.  AIRCRAFT IMPACTED A SINGLE TREE CAUSING THE LEFT WING AND ENGINE TO SEPARATE FROM THE AIRFRAME.  EXAMINATION OF THE ENGINE REVEALED A HOLE IN THE CRANKCASE INBOARD OF THE #2 CYLINDER AND BELOW THE LEFT MAGNETO.  THE LEFT MAGNETO SEPARATED FROM THE ENGINE AND HAD A SINGLE IMPACT POINT WHICH ALIGNS WITH THE HOLE IN THE CRANKCASE.  PILOT AND ONE PAX DESCRIBED A SLIGHT TAPPING SOUND DURING PREFLIGHT RUN-UP BUT COULD NOT DETERMINE IF FROM RADIOS OR ENGINE.  AIRCRAFT WAS DESTROYED.
20150106000059I	THE AIRCRAFT WAS PARKED ON THE FBO RAMP. ON DEPARTING, THE AIRCRAFT BEGAN TO TAXI AND TURNED PERPENDICULAR TO THE THE FBO'S BUILDING. THE AIRCRAFT WAS THEN STOPPED APPROXIMATELY 150 FEET FROM THE BUILDING STRUCTURE TO ALLOW FOR PASSAGE OF A SWEEPER THAT WAS CLEARING SNOW AND ICY PATCHES FROM THE ADJACENT TAXIWAY. THE AIRCRAFT THEN BEGAN TO RESUME TAXI. WHEN THE PILOT APPLIED POWER TO BEGIN TAXI, THE JET BLAST CAUSED MODERATE DAMAGE TO THE FBO'S ENTRY DOORS, WINDOWS, AND RELATED STRUCTURE.
20150106000249A	AIRCRAFT DEPARTED MONTROSE COLORADO AT APPROX 1630, HEADING TOWARD SPANISH FORK UTAH IN A NORTH WEST DIRECTION. ATTEMPTED TO CLIMB OVER MOUNTAINOUS TERRAIN, COULD SEE HE WASNT GOING TO MAKE IT, TURNED AWAY FROM THE RIDGE, STRUCK TREES AND CRASHED
20150106000279I	TAXIING FOR TAKEOFF RUNWAY 4R, AT KFFZ, SW BOUND ALONG TAXIWAY-D, WAS TAXIING SLIGHTLY TOO FAST WHEN I APPLIED THE BRAKES APPROACHING THE HOLD BAR AT THE INTERSECTION OF TAXIWAYS D AND D1 AND AIRCRAFT NOSED OVER DAMAGING PROPELLER AND SPINNER. NO DAMAGE TO COWLING, ENGINE MOUNTS, FIREWALL OR ANY OTHER STRUCTURES TO AIRCRAFT. CONTRIBUTING FACTORS:  AIRCRAFT -> A LYCOMING O-290-D2 IS INSTALLED ON THIS KITFOX S-6 RESULTING IN A NOSE HEAVY AIRCRAFT, IN FACT A CONCRETE BALLAST IS INSTALLED IN THE TAIL TO BRING THE AIRCRAFT WITHIN ALLOWABLE CG RANGE. A ROTAX 912ULS ENGINE AND PROPELLER, THE TYPICAL, AND MUCH LIGHTER, ENGINE CONFIGURATION FOR THIS AIRCRAFT, ALONG WITH KITFOX AIRCRAFT?S FIREWALL FORWARD INSTALLATION KIT HAS BEEN PURCHASED FOR THIS AIRCRAFT TO REDUCE OVERALL WEIGHT AND BRING THE CG INTO THE MIDDLE OF THE ENVELOPE. THIS ENGINE WILL NOW BE INSTALLED, RESULTING IN AN AIRCRAFT CONFIGURATION WITH BETTER GROUND HANDLING CHARACTERISTICS.  ENVIRONMENT -> A KING AIR THAT HAD RECEIVED AN IFR CLEARANCE JUST PRIOR TO MY TAXI CLEARANCE WAS BEHIND ME ON TAXIWAY DELTA, I WANTED TO ENSURE THAT I WAS CLEAR OF TAXIWAY ALFA TO AVOID ANY UNDUE DELAY ON THEIR DEPARTURE AND THEREFORE TAXIED AT A SLIGHTLY FASTER SPEED THAN NORMAL, AND DELAYED MY BRAKING UNTIL PAST TAXIWAY A, THIS EXTRA MOMENTUM, IN ADDITION TO THE NOSE HEAVY CONFIGURATION OF THIS PARTICULAR KITFOX, CONTRIBUTED TO THE INCIDENT.
20150106000829A	DPE WAS ADMINISTERING PRIVATE PILOT CHECKRIDE TO APPLICANT.  AFTER A  FULL STOP LANDING, A SHORT FIELD TAKEOFF WAS PERFORMED BY THE APPLICANT.  AT ABOUT 500 FT AGL, THE DPE GAVE THE APPLICANT A SIMULATED ENGINE FAILURE BY FULLY RETARDING THE THROTTLE TO THE IDLE POSITION.  THE APPLICANT RESPONDED BY ADJUSTING THE AIRCRAFT PITCH FOR BEST GLIDE AIRPSPEED, SELECTED A LANDING SITE IN THE FORESTED SWAMP IN FRONT OF THE AIRCRAFT, AND SIMULATED PERFORMING THE REST OF THE EMERGENCY PROCEDURES.  THE DPE TERMINATED THE SIMULATED ENGINE FAILURE AND THE PUSHED THE THROTTLE IN TO THE MAXIMUM POWER POSITION.  THE ENGINE DID NOT RESPOND, IT REMAINED AT THE IDLE/WINDMLLING RPM.   THE DPE DIRECTED THE APPLICANT TO TURN ON THE FUEL BOOST PUMP, THEN HE CYCLED THE THROTTLE FROM THE FULL POWER POSITION TO THE IDLED POSITION AND BACK TO THE FULL POWER POSITION.  THE ENGINE DID NOT RESPOND AND REMAINED AT WINDMILL/IDLE RPM.  THE DPE THEN TOOK CONTROL OF THE AIRCRAFT, TURNED THE AIRCRAFT  TO A LESS DENSELY WOODED AREA OF THE SWAMP, VERIFIED THAT THE MAGNETO SELECTOR WAS IN THE BOTH POSITION, MIXTURE TO THE RICH POSITION, AND HAD THE APPLICANT VERIFY THE FUEL TANK SELECTOR VALVE WAS IN THE ON/BOTH POSITION.  AS THE AIRCRAFT DESCENDED THE DPE HAD THE APPLICANT TURN THE ELECTRICAL MASTER SWITCH TO THE OFF POSITION AND TURN THE FUEL SELECTOR VALVE TO THE OFF POSITION.  THE AIRCRAFT DESCENDED INTO THE TREES WHEN THE RIGHT WING HIT A TREE THAT CAUSED IT TO TURN RIGHT AND PITCH DOWN IN A CARTWHEELING MOTION.  THE AIRCRAFT CAME TO REST ROTATED 180 DEGREES TO THE RIGHT OF THE DIRECTION OF TRAVEL AND 90 DEGREES NOSE DOWN.  THE DPE AND APPLICANT THEN CHECKED FOR INJURIES (NONE), VERIFIED THE MASTER SWITCH WAS OFF AND EVACUATED THE AIRCRAFT.
20150106001889I	BIRD STRUCK THE LEFT WING STROBE / NAV LIGHT. IT DAMAGED THE LIGHT.
20150106003969A	PILOT WAS DEPARTING ON RUNWAY 17 FROM LLANO AIRPORT (AQO) LLANO, TEXAS ENROUTE TO DENTON MUNICIPAL AIRPORT DENTON, TEXAS (DTO). ACCORDING TO PILOT ON TAKEOFF ROLL, THE ENGINE LOST POWER AT LIFT OFF. THE AIRPLANE PITCHED FOWARD, CAUSING THE PROPELLER TO STRIKE THE RUNWAY. THE AIRPLANE THEN TURNED SLIGHTLY RIGHT AND BOUNCED BACK INTO THE AIR. IN TRYING TO TO GET AIRPLANE TO STOP, THE AIRPLANE FLIPPED ONTO ITS BACK.  INSPECTORS FROM THIS OFFICE INVESTIGATED THE ACCIDENT SCENE AND DETERMINED THE ENGINE WAS MAKING POWER AT TAKEOFF. PILOT LOST CONTROL OF THE AIRPLANE ON TAKEOFF ROLL AND DID GET AIRBORNE MOMENTARILY THEN BOUNCED BACK DOWN TO THE RUNWAY STRIKING THE PROPELLER IN EXCESS OF 30 TIMES BEFORE TURNING RIGHT AND THEN LEAVING THE RUNWAY. UPON LEAVING RUNWAY AIRPLANE FLIPPED OVER ONTO ITS BACK. PILOT AND PASSENGER WERE NOT HURT. FUEL ON BOARD WAS 76 GALLONS. THERE WAS NO POST CRASH FIRE.
20150107000149I	ON JANUARY 7, 2015, AT 0800 CST, A CESSNA 152, N965AA, S/N 15282465, OWNED BY US AVIATION GROUP LLC, 4850 SPARTAN DR., DENTON, TX 76207, LOST POWER, WHILE ON A STUDENT TRAINING FLIGHT, PERFORMING SIMULATED ENGINE OUT PROCEDURES AND MADE AN EMERGENCY LANDING ON A COUNTRY ROAD.  VISUAL METEOROLOGICAL CONDITIONS PREVAILED (VMC) AND THERE WAS NO FLIGHT PLAN FILED.  THE AIRCRAFT HAD MINOR DAMAGE AND THERE WERE NO INJURIES.  THE INSTRUCTOR PILOT HOLDS A COMMERCIAL, INSTRUMENT, MULTI-ENGINE RATING.  THE FLIGHT ORIGINATED AT DENTON TX AIRPORT (KDTO), ON JANUARY 7, 2015 AT 0720 CST.
20150107000189I	AFTER LIFTOFF, THE AIRCRAFT STRUCK MULTIPLE LARGE BIRDS CAUSING THE LEFT ENGINE TO FAIL.  THE PILOT INITIATED A RETURN TO THE AIRPORT AND LANDED WITHOUT INCIDENT.
