c5	remark
20100103025589I	UPON LANDING AT FT. VALLEY (GA81) THE RIGHT GEAR RETRACTED ON LANDING ROLLOUT AND THE AIRCRAFT CONTACTED SOME SMALL TREES OFF OF THE RIGHT SIDE OF THE RUNWAY.
20100103025599I	WING OVERHEAT LEFT SIDE MASTER WARNING.(AIRCRAFT RETURNED TO ATL AFTER T/O)
20100103025669I	DURING CLIMB OUT WITH LANDING GEAR RETRACTING PILOT FELT/HEARD "THUMP".  LANDING GEAR WAS EXTENDED WITH 3 GREEN INDICATIONS.  FLY-BY CONTROL TOWER VISUALLY CONFIRMED LANDING GEAR DOWN.  AN UNEVENTFUL LANDING WAS MADE.  THE POST FLIGHT WALK AROUND REVEALED INITAL IMPACT OF A BIRD, WITH ASSOCIATED FEATHERS AND BLODD, AT THE RIGHT HAND PITOT PROBE.  FURTHER INSPECTION SHOWED THE RIGHT HAND WING LEADING EDGE WITH APPROXIMATELY A 12 INCH AREA CAVED IN.  THE RIGHT HAND ENGINE INLET LEADING EDGE WAS CRUSHED IN TWO AREAS.  THE IMPACT CAUSED THE ENGINE COWLING LEADING EDGE TO SEPARATE WHERE THE REMAINS OF THE BIRD(S) WERE FOUND.
20100103025679I	ON PRE-FLIGHT, PILOT VERIFIED FUEL GAUGE INDICATED ONE QUARTER TANK. PILOT VISUALLY LOOKED IN TANK TO VERIFY FUEL QUANTITY. HE STATED HE THOUGHT IT LOOKED ABOUT RIGHT FROM PRIOR EXPERIENCE WITH THIS AIRCRAFT. PILOT DEPARTED PEARSON AIR PARK AND FLEW 12 MINUTES. LOST POWER. THOUGHT IT MAY BE CARB ICE. APPLIED CARB HEAT AND FULL RICH. SEEMED TO RECOVER FOR NO MORE THAN 30 SECONDS. LOST POWER AGAIN. OPENED WING TANK VALVE. NO HELP. BROADCAST MAYDAY ON 121.5. PERFORMED GOOD LANDING WITHOUT POWER IN MOWED WHEAT FIELD. STATED FUEL TANK INDICATED ZERO. FUELED AIRCRAFT. PERFORMED FULL POWER RUN-UP. PERFORMED LEAK CHECK OK. FLEW AIRCRAFT BACK TO PEARSON AIR PARK.
20100103025709A	ON JANUARY 3, 2010 AT APPROXIMATELY 11:00 A.M. PACIFIC STANDARD TIME, PRIVATE PILOT MICHAEL FUQUA WAS FLYING N7417N, A CESSNA 182P FROM PALOMAR AIRPORT (KCRQ) IN CARLSBAD, CALIFORNIA, TO FALLBROOK AIRPORT (L18) ALSO IN CALIFORNIA. THE WEATHER IN THE AREA OF THE FLIGHT WAS IN VFR CONDITIONS AND WAS REPORTED TO BE CLEAR WITH WINDS LIGHT AND VARIABLE AND TEMPERATURES IN THE MID 60'S FAHRENHEIT.  THIS WAS THE FIRST TIME THE PILOT HAD ATTEMPTED A LANDING AT FALLBROOK.  THIS AIRPORT HAS A 2160 FOOT RUNWAY SITUATED ON TOP OF A HILL.  THE TERRAIN IN THE LOCAL AREA IS MADE UP OF ROLLING HILLS AND IRREGULAR LANDSCAPE.  HE ATTEMPTED TO CHECK THE AIRPORT WEATHER CONDITIONS ON THE CTAF FREQUENCY BUT WAS UNABLE TO RECEIVE ANY RECORDING.  AT APPROXIMATELY 11:15 A.M., HE SET UP A NORMAL DOWNWIND ENTRY WITH A LEFT TRAFFIC PATTERN TO RUNWAY 18.  HE CHECKED THE WINDSOCK AND SAW NO WIND INDICATED.   MR. FUQUA COMMENCED A DESCENT AND CONFIGURED THE AIRCRAFT WITH FULL FLAPS FOR HIS LANDING BUT REMAINED TOO HIGH AND TOO FAST DURING THE APPROACH.  HIS LANDING WAS BEYOND THE MID POINT OF THE RUNWAY AND HE BALLOONED SOME IN THE FLARE.  AFTER TOUCHDOWN, HE APPLIED MAXIMUM BRAKING AND SKIDDED OVER 600 FEET OFF THE END OF THE RUNWAY AND DOWN THE HILL THAT EXTENDED OFF THE RUNWAYS END.  AS THE AIRCRAFT WAS NEARING A STOP AT THE BOTTOM OF THE HILL, THE NOSE WHEEL DUG INTO THE SOFT DIRT CAUSING THE AIRCRAFT TO FLIP OVER ONTO ITS BACK AND COME TO REST.  THE PILOT WAS ABLE TO FREE HIS SEATBELT AND EXIT OUT THE PASSENGER SIDE OF THE AIRCRAFT.  THERE WAS NO FIRE AND NO DAMAGE TO THE AIRPORT PROPERTY OR SURROUNDING AREA.  THE NOSE WHEEL BROKE OFF AND THE AIRCRAFT RECEIVED SUBSTANTIAL DAMAGE.  THERE WAS SIGNIFICANT DAMAGE TO THE WING AND WING SPAR, FUSELAGE, TAIL, PROPELLER AND NOSE SECTION.  A FLIGHT INSTRUCTOR WHO WAS GOING TO FLY A DUAL INSTRUCTIONAL FLIGHT WITH MR. FUQUA WAS WAITING AT THE AIRPORT AND WITNESSED THE ACCIDENT.  THE PLAN WAS TO JOIN UP WITH MR. FUQUA AND PROVIDE FLIGHT TRAINING WITH A TRIP TO BIG BEAR, CALIFORNIA FOR HIGH ALTITUDE AIRPORT FAMILIARIZATION.  HE REPORTS THE APPROACH PATH WAS TOO HIGH AND THE APPROACH SPEED APPEARED TO BE ABOUT 10 TO 15 MPH TOO FAST.  THE TOUCHDOWN APPEARED TO BE ABOUT 2/3 OF THE WAY DOWN THE RUNWAY.  HE SAW THE AIRCRAFT SKID OFF THE END AND GO DOWN THE EMBANKMENT.  HE INDICATED THAT WINDS FOR THE MOST PART WERE CALM BUT THERE WAS OCCASIONAL LOW SPEED SOFT DRAFTS THAT WOULD HAVE FAVORED USING RUNWAY 36.  I HAVE DETERMINED THAT THIS SLIGHT INTERMITTENT TAILWIND WAS NOT SIGNIFICANT TO THE CAUSE OF THIS ACCIDENT.AN INTERVIEW WITH THE PILOT FOCUSED ON HIS POOR SHORT FIELD LANDING TECHNIQUE AND HIS FAILURE TO MAKE A DECISION TO GO AROUND WHEN IT BECAME APPARENT THAT HIS TOUCHDOWN POINT WAS BEYOND THE NORMAL TOUCHDOWN ZONE OF THE LANDING RUNWAY.  I ASKED HIM TO GIVE ME THE GO AROUND PROCEDURE FOR HIS AIRCRAFT AND HE WAS ABLE TO RECITE THE PROPER SEQUENCE OF POWER APPLICATION AND CONTROL IMPUTES AND FLAP CONFIGURATION CHANGES.  WHEN PRESSED FOR AN ANSWER AS TO WHY HE DID NOT GO AROUND, NO CLEAR REASON WAS GIVEN.  SOME OTHER ITEMS THAT WERE DISCUSSED INCLUDED THE IDEA THAT A FEW LOW APPROACHES TO AN UN FAMILIAR RUNWAY COULD HAVE BETTER PREPARED HIM FOR THE VISUAL REFERENCES NECESSARY TO MAKE A MORE NORMAL LANDING ATTEMPT.  ALSO DISCUSSED, WAS THE NEED FOR A STABILIZED CONFIGURATION AND PROPER AIRSPEED CONTROL.  HE SHARED WITH ME THAT HE WAS FOCUSED TOO MUCH ON THE UPCOMING FLIGHT TO BIG BEAR, CALIFORNIA AND THE MOUNTAIN TRAINING HE WAS ANTICIPATING.  HE RELATES THAT IN HIND SIGHT HE DID NOT GIVE ADEQUATE CONSIDERATION TO THE ISSUES INVOLVED WITH AN UN FAMILIAR AIRPORT THAT HAS A SHORT RUNWAY.
20100104025659I	AIRCRAFT TAXIING INTO GATE M9, OHARE AIRPORT (ORD) INTERNATIONAL TERMINAL , STRUCK A CARGO LOADER THAT WAS SITTING INSIDE THE RED SAFETY ZONE WITH THE NUMBER 4 ENGINE COWL. KLM WAS USING THE GATE ELECTRONIC GIUDANCE SYSTEM FOR PLACEMENT OF AIRCRAFT AT GATE M9. THE LEAD MARSHALL TURNED ON THE ELECTRONIC GUIDANCE SYSTEM AFTER VERIFYING THE SAFE AREA WAS CLEAR. THERE WAS AN AMERICAN AIRLINES CARGO LOADER SITTING IN THE SAFE AREA WHEN THE AIRCRAFT APPROACHED GATE M9 LEAD IN LINE AND STOP LINE.
20100104025749I	ON JANUARY 04, 2010, CAPTAIN CLIFFORD AND FIRST OFFICER HACKLER WERE ASSIGNED FLIGHT #1337, IN AIRCRAFT N189GC, FROM STX, ST. CROIX TO SIG, ISLA GRANDE AIRPORT.  AFTER LANDING IN SIG AND WHILE BEING GROUND MARSHALED INTO PARKING POSITION BY RAMP AGENTS ^PRIVACY DATA OMITTED^ AND ^PRIVACY DATA OMITTED^, N189GC RIGHT WING BRUSHED THE RIGHT WING OF N241SA THAT WAS PARKED ON THE RAMP.  SEABORNE AIRLINES DISPATCH WAS REPORTED THE INCIDENT AT APPROXIMATELY 1115 LOCAL TIME BY CAPTAIN CLIFFORD.  AT THAT TIME THE DIRECTOR OF OPERATIONS, CHIEF PILOT, DIRECTOR OF MAINTENANCE, DIRECTOR OF SAFETY AND HUMAN RESOURCES WERE NOTIFIED OF THE INCIDENT.  BOTH CREW MEMBERS AND TWO GROUND SUPPORT PERSONNEL WERE IMMEDIATELY REMOVED FROM LINE SERVICE AND INSTRUCTED TO STANDBY FOR HR TO ARRIVE IN ORDER TO CONDUCT DRUG TESTING.  THE AIRCRAFT REMAINED PARKED UNTIL SEABORNE MAINTENANCE PERSONNEL ARRIVED TO CONDUCT AN INSPECTION OF THE TWO AIRCRAFT.  SEABORNE MAINTENANCE CONDUCTED AN INSPECTION OF THE WING TIP AREA ON BOTH AIRCRAFT.  THIS INSPECTION REVEALED ONLY MINOR PAINT DAMAGE TO BOTH AIRCRAFT. AS A RESULT, BOTH AIRCRAFT WERE RETURNED TO SERVICE.
20100104026089A	THE PORTLAND MAINE FSDO WAS NOTIFIED BY BGR ATC AN AIRCRAFT (N5118J) WAS MISSING.  N5118J HAD DEPARTED BGR FOR GOOSE BAY (CYYR) ON AN IFR FLIGHT PLAN IN IMC WEATHER AFTER HAVING EXTRA FUEL TANKS INSTALLED FOR THE FERRY FLIGHT.  BOSTON CENTER AND BGR ATC WERE NOTIFIED BY THE 78 YEAR OLD PILOT OF N5118J THAT HE ENCOUNTERED SEVERE TURBULENCES AND WAS GETTING HEAVY AT APPROXIMATELY 5500 FEET ABOUT 30 MILES NORTHEAST OF BANGOR MAINE.  PILOT TURNED BACK SOUTHWEST TOWARD BGR TO LAND.  WHILE DESCENDING AT APPROXIMATELY 2500' ATC ATTEMPTED TO GIVE HIM AN ALTERNATE LANDING SITE AT OLD TOWN AIRPORT.  THE PILOT DIDN'T RESPOND.  THE CRASH SITE WAS LOCATED ON THE PENOBSCOT RIVER ON INDIAN TRIBAL LAND (OLAMON ISLAND) AND THERE WAS NO IMPACT FIRE WITH THE PILOT BECOMING A FATALITY.  NO MECHANICAL DIFFICULTIES INDICATED AT THIS TIME.
20100104026139I	GEAR LEVER SELECTED UP AND NOSE GEAR WOULD NOT RETRACT GEAR. HANDLE SELECTED DOWN AND REMAINED DOWN. WHEN THE AIRCRAFT FIRST LEFT THE GATE A DUMP COULD BE HEARD WHEN THE TUG WAS FIRST CONNECTED TO THE AIRCRAFT. [EMERGENCY DECLARED -- A/C RETURNED TO ATL DUE TO MTC]
20100104042759I	PILOT IN COMMAND FAILED TO GUARD GEAR HANDLE DURING TOUCH AND GO OPERATIONS. INADVERTANT RETRACTION OF GEAR ON LANDING ROLL. NOSE GEAR COLLAPSED RESULTING IN STRIKE DAMAGE TO PROPELLERS, ENGINES AND AIRFRAME.
20100105025629A	ON CROSS COUNTRY FLIGHT FROM DECATUR, IL TO LITCHFIELD, IL THE STUDENT PILOT BECAME DISORIENTED AND LOST, WHILE THE AIRMAN WAS SEARCHING FOR LITCHFIELD AIRPORT THE AIRCRAFT ENGINE EXPERIENCED FUEL EXHAUSTION.  AIRMAN CONDUCTED AN OFF AIRPORT LANDING IN NIGHT VMC CONDITIONS.  THE SELECTED LANDING SITE WAS SHORT AND THE AIRCRAFT CONTACTED A HEDGEROW DURING THE LANDING ROLL RESULTING IN SUBSTANTIAL DAMAGE TO THE AIRCRAFT.  THE STUDENT PILOT, THE SOLE OCCUPANT,  WAS UNINJURED.
20100105025639I	AT APPROXIMATELY 2115 LOCAL TIME, THE AIRCRAFT MADE AN ILS APPROACH TO RUNWAY 34 AT HAYS MUNICIPAL AIRPORT (HYS). THE PILOT VERIFIED THAT ALL THREE LANDING GEAR INDICATOR LIGHTS INDICATED DOWN AND LOCKED (GREEN INDICATOR LIGHTS).  SHORTLY AFTER TOUCH DOWN, THE AIRCRAFT'S LEFT WING STARTED TO DROP AND THE PASSENGER NOTICED THAT THE LEFT LANDING GEAR GREEN INDICATOR LIGHT WAS NO LONGER ILLUMINATED.   THE AIRCRAFT LEFT WING SETTLED TO THE GROUND AND THE AIRCRAFT DEPARTED THE RUNWAY ON THE LEFT SIDE.  AFTER THE AIRCRAFT STOPPED, THE PILOT AND THE PASSENGER EXITED THE AIRCRAFT AND NOTIFIED FLIGHT SERVICE THAT THE RUNWAY WAS CLOSED.
20100105025699A	ON JANUARY 5, 2010 AT APPROXIMATELY 12:10 PST, A BELL B-206 STRUCK A POWER LINE WHILE CONDUCTING DEER COUNT FOR THE CALIFORNIA DEPARTMENT OF FISH AND GAME. THE PILOT AND THREE PASSENGERS WERE FATALLY INJURED. THE HELICOPTER WAS OPERATING UNDER VISUAL FLIGHT RULE CONDITIONS. TWO WITNESSES REPORTED SEEING THE HELICOPTER STRIKE THE WIRE AND ROTOR AND TRANSMISSION DEPART THE AIRCRAFT.  THE HELICOPTER ROLLED INVERTED AND BURST INTO FLAMES. THE LINES WERE PROPERLY MARKED ON THE VFR SECTIONAL CHART.
20100105025839I	PILOT LANDED ON RUNWAY 7R AT KPHX AND DURING THE ROLL OUT OF THE LANDING THE NOSE GEAR RETRACTED RESULTING IN BOTH PROPELLERS STRIKING THE GROUND.  AFTER THE NOSE OF THE AIRCRAFT CONTACTED THE GROUND, THE AIRCRAFT TRAVELED ON ITS NOSE FOR AN ADDITIONAL 500 FEET APPROXIMATELY.   THE AIRCRAFT CAME TO REST ON THE LEFT SIDE OF RUNWAY 7R IN A NOSE DOWN ATTITUDE WITH THE LEFT MAIN LANDING GEAR PARTIALLY RETRACTED AS WELL.  THE RIGHT MAIN LANDING GEAR REMAINED FULLY EXTENDED BUT ACCORDING TO MAINTENANCE CREWS THAT SECURED THE AIRCRAFT BEFORE INSPECTORS ARRIVED THE RIGHT GEAR DOWN LOCK WAS NOT ENGAGED.
20100105025879A	ON JANUARY 5, 2010, AT 1328 MST, N28446, A GRUMMAN AMERICAN AA-5B, CRASHED ON TAKEOFF FROM RUNWAY 20 AT THE SANTA FE, NEW MEXICO MUNICIPAL AIRPORT.  THE PILOT AND SOLE OCCUPANT OF THE AIRPLANE WAS NOT INJURED.  THE PILOT STATED THAT THE RUN UP AND INITIAL TAKEOFF ROLL WERE NORMAL.  WHEN HE TRIED TO ROTATE THE AIRPLANE FOR TAKEOFF THERE WAS NO ELEVATOR CONTROL AND THE TAKEOFF WAS REJECTED.  AN EYEWITNESS SAID THE AIRPLANE GOT ABOUT 5 TO 6 FEET IN THE AIR AND CAME DOWN HARD, BOUNCED TWO OR THREE TIMES, KNOCKING THE NOSEWHEEL OFF OF THE AIRPLANE.  THE AIRPLANE CAME TO REST ON THE RUNWAY.  THE FLIGHT WAS BEING CONDUCTED UNDER 14 CFR PART 91. VISUAL METEOROLOGICAL CONDITIONS AND CALM WINDS EXISTED AT THE TIME OF THE ACCIDENT.  NO FLIGHT PLAN WAS FILED.
20100105026749I	PILOT LOST CONTROL OF AIRCRAFT DURING LANDING ROLLOUT.  AIRCRAFT WENT OFF RIGHT SIDE OF RUNWAY AND HIT A TAXIWAY SIGN, CAUSING MINOR DAMAGE TO THE PROPELLER AND NOSE GEAR.
20100105056059A	THE AIRCRAFT WAS CONDUCTING A PART 91 POSITIONING FLIGHT TO PICK UP A HIGH PRIORITY PART FOR TRANSPORT TO ATLANTA.  THE AIRCRAFT WAS MAKING A VFR CIRCLING APPROOACH FROM THE NORTH TO RUNWAY 34 AT PWK AIRPORT.  THE WEATHER WAS VFR AND THE AIRCRAFT HAD CANCELED IT'S IFR CLEARANCE.  THE AIRCRAFT WAS CLEARED TO LAND RUNWAY 34.  THE AIRCRAFT CRASHED ON THE EXTENDED CENTERLINE OF THE RUNWAY, APPROXIMATELY 1.5 MILES SHORT OF THE AIRPORT.  WITNESSES DESCRIBED THE WINGS ROCKING BACK AND FORTH BEFORE THE AIRCRAFT ROLLED OVER AND CRASHED.
20100106025649A	AIRMAN ELECTED TO LAND ON AN UNIMPROVED RUNWAY DURING THE OFF SEASON WHEN THE AIRPORT IS REPORTED AS CLOSED AS PER AIRPORT FACILITY DIRECTORY.  RUNWAY WAS COVERED WITH HARD SNOW, APPROXIMATELY SIX INCHES DEEP.   UPON TOUCHDOWN AIRCRAFT SETTLED INTO THE SNOW, COMING TO AN ABRUPT  STOP, WITH AIRCRAFT INVERTED ON THE RUNWAY.  AIRMAN BELIEVED SNOW DEPTH AT THIS AIRPORT WOULD BE CONSISTENT WITH THAT FOUND IN FIELDS ADJACENT TO RUNWAY AT A NEARBY AIRPORT, WHICH WAS LESS THAN 2 INCHES.  AIRMAN OVERFLEW ACCIDENT RUNWAY PRIOR TO LANDING AND OBSERVED GRASS THROUGH THE SNOW, GIVING THE ILLUSION OF SHALLOW SNOW DEPTH.  DISCUSSIONS WITH AIRPORT MANAGEMENT REVEAL THAT THE MANAGER WOULD PREFER TO SHOW AIRPORT CLOSED BY NOTAM BUT PREVENTED FROM DOING SO BY FSS.
20100106025689A	ON JANUARY 6, 2010, PILOT, DEPARTED FROM THOMASTON, GA (KOPN), ENROUTE TO AUBURN, ALABAMA, AIRPORT (KAUO). PILOT STATED THAT UPON LANDING ON RUNWAY (36), DURING ROLLOUT, HE APPLIED BRAKES TO SLOW AIRPLANE, TO MAKE A LEFT TURN. PILOT STATED THAT AIRPLANE IMMEDIATELY TURNED TO THE RIGHT, DUE TO THE LEFT BRAKE NOT RESPONDING. THE AIRPLANE VEERED OFF THE RUNWAY INTO GRASS, CAUSING THE LEFT MAIN GEAR TO COLLAPSE AND THE LEFT WING TO IMPACT GROUND. AIRPLANE SHOWED SUBSTANTIAL DAMAGE.  PILOT WAS ONLY PAX ON BOARD WITH NO INJURIES NOTED.
20100106025739I	SUBJECT AIRMAN STATED THAT HE AND TWO PASSENGERS DEPARTED KPOU AT APPROXIMATELY 1550 EST FOR A LOCAL SIGHTSEEING FLIGHT. HE STATED THAT THERE WERE NO DISCREPANCIES DURING THE PREFLIGHT INSPECTION AND BRAKING ACTION WAS NORMAL DURING TAXI. THE SUBJECT AIRCRAFT DOES NOT HAVE NOSE WHEEL STEERING AND RELIES UPON DIFFERENTIAL BRAKING TO STEER. THE ROUTE TO THE ACTIVE RUNWAY REQUIRED BOTH LEFT AND RIGHT TURNS, SUBSTANTIATING AIRMAN'S CLAIM.  AFTER A FLIGHT OF APPROXIMATELY 1.3 HOURS, HE MADE A NORMAL APPROACH AND LANDED ON RWY 33 AT KPOU. DURING ROLLOUT HE NOTED NO BRAKING ACTION FROM THE RIGHT BRAKE. HE ATTEMPTED TO SLOW THE AIRCRAFT WITH THE LEFT BRAKE AND MAINTAINED DIRECTIONAL CONTROL WITH THE RUDDER. AS HE APPROACHED THE DEPARTURE END OF THE RUNWAY AND REALIZED THAT THE AIRCRAFT WAS NOT GOING TO STOP ON THE RUNWAY, HE APPLIED STRONG LEFT BRAKE AND DEPARTED THE LEFT SIDE OF THE RUNWAY. THE AIRCRAFT CAME TO REST APPROXIMATELY 200 FEET OFF THE LEFT SIDE OF THE DEPARTURE END OF RWY 33 WITH THE RIGHT WINGTIP JUST TOUCHING THE AIRPORT PERIMETER FENCE. THE ONLY DAMAGE TO THE AIRCRAFT WAS A BROKEN RIGHT WINGTIP NAV/STROBE LENS COVER. THERE WERE NO INJURIES.
20100106025779A	AIRCRAFT WAS PERFORMING AN ILS APPROACH TO RWY 36 AT KEARNEY MUNICIPAL AIRPORT IN KEARNEY, NEBRASKA.  THE ONE HALF TO THREE QUARTERS OF AN INCH OF ICE WHICH ACCUMULATED ON THE AIRCRAFT DURING THE APPROACH ULTIMATELY INCREASED THE STALLING SPEED, THEREBY CAUSING THE AIRCRAFT TO PREMATURELY STALL DURING THE LANDING FLARE OVER THE RUNWAY AT APPROXIMATELY 20-30 FEET, RESULTING IN A HARD LANDING CAUSING SUBSTANTIAL DAMAGE TO THE LEFT WING STRUCTURE.
