c5	remark
20000102000699I	(-23) RIGHT MAIN WHEEL AND BRAKE BROKE OFF LANDING GEAR UPON LANDING.
20000102000949I	(-23) ON SUNDAY, JANUARY 2, 2000, AT 1239 LOCAL, A VANGUARD AIRLINES B-737, N209US, FLIGHT 734 PERFORMED AN AIR TURNBACK DUE TO THE NUMBER ONE OVERHEAT LIGHT ILLUMINATING.  THE AIRCRAFT LANDED ON RUNWAY 23 AT BUF AND TAXIED TO THE GATE WITHOUT INCIDENT.  CONTRACT MAINTENANCE INSPECTED THE NUMBER ONE ENGINE AND FOUND NO DISCREPANCIES.  THE AIRCRAFT HAD PREVIOUSLY DEPARTED AS FLIGHT 938 AT 0824 LOCAL AND RETURNED TO BUF WITH THE SAME PROBLEM.  MAINTENANCE FOUND THE 13TH STAGE BLEED AIR DUCT CRACKED.  THEY REMOVED AND REPLACED THE DUCT PER MM75-10-00.  THE ENGINE WAS RUN WITH NO DEFECTS NOTED AND RETURNED TO SERVICE.  THIS INCIDENT IS CONSIDERED CLOSED.
20000102001019I	(-23) PILOT REPORTED A SUDDEN GUST OF WIND FROM THE LEFT AT 55 KTS OF IAS.  THE AIRCRAFT ROLLED RIGHT, RIGHT WINGTIP CONTACTED GROUND, THEN THE NOPSE.  NOSE GEAR BENT BACK, PROP BENT, BOTTOM COWL BENT AND RIGHT WING TIP DAMAGED OUTBOARD OF SECOND RIB FROM TIP.
20000102001329I	(-23) ON 01/02/00 AT 01.45 N9285W DEPARTING LAS FOR BERMUDA DUNES, CA ON AN IFR FLIGHT PLAN.  UPON REACHING CRUISE ALTITUDE OF 14,000 FT THE AIRCRAFT ENGINE BEGAN MAKING RUMBLING SOUNDS, THE PILOT MR. VANN THEN CONTACTED LA CENTER DECLARED AN EMERGENCY AND ASKED FOR THE CLOSEST AIRPORT.  MR. VANN THEN PROCEDED TO IFP BULLHEAD CITY, AS DIRECTED.  MR. VANN LOST TOTAL ENGINE POWER FOR AT LEAST THE LAST 15 MINUTES OF FLIGHT.  MR. VANN OPTED TO LEAVE THE LANDING GEAR RETRACTED TO MAINTAIN AS MUCH LIFT AS POSSIBLE.  DURING HIS APPROACH HE STATED HE REMBERED SEEING THE POWER LINES AND BARELY MAKING IT OVER THE AIRPORT PERIMETER FENCE AS THE AIRCRAFT WAS AT STALL SPEEDS.  MR. VANN IMPACTED SHORT OF RUNWAY 16 AND SLID APPROX 658 FT.  MINOR DAMAGE WAS SUSTAINED. NO INJURIES ON
20000102004019I	PILOT'S STATMENT: ON THE EVENING OF JAN. 2, 2000, AT ABOUT 1900, I MADE AN ILS APPROACH TO 9R AT TMB.  I WAS RETURNING FROM PAHOKEE WHERE I HAD LANDED AFTER SOME PRACTICE APPROACHES AT DADE-COLLIER (TNT).  I FAILED TO LOWER THE GEAR BEFORE THE OUTER MARKER.  WHEN THE GEAR HORN WENT OFF, I FLOWERED THE GEAR INSTEAD OF EXECUTING A GO AROUND.  THE GEAR PARTIALLY EXTENDED, AND COLLAPSED DURING THE ROLL-OUT.
20000102008309A	(-23) NO FACTS ARE AVAILABLE AT THIS TIME. THE ENGINE IS AT PRATT & WHITNEY FOR INSPECTION AND TEST.
20000102009719A	(-23) AIRCRAFT DEPARTED MONTROSE, CO, ON A FLIGHT TO EL PASO, TEXAS. THE NON-INSTRUMENT RATED PRIVATE PILOT WAS FATALLY INJURED FOLLOWING IMPACT WITH TERRAIN WHILE MANEUVERING NEAR TELLURIDE, COLORADO. INSTRUMENT METEOROLOGICAL CONDITIONS PREVAILED FOR THE CROSS-COUNTRY FLIGHT APPROXIMATELY 30 MINUTES BEFORE THE ACCIDENT. NO FLIGHT PLAN HAD BEEN FILED. THE AIRCRAFT STRUCK THE TREES WITH APPROXIMATELY 20 DEGREES NOSE DOWN AND LEFT WING DOWN APPROXIMATELY 15 DEGREES.
20000102010269A	(-23) ENGINE LOST POWER DURING CLIMB OUT, THE PILOT TRIED TO RETURN TO THE FIELD. THE AIRCRAFT WAS HEAVILY DAMAGED DURING AN OFF FIELD LANDING. A BREAK IN THE ENGINE CASE AT THE LEFT REAR CORNER NEXT TO THE #2 CYLINDER SHOWS AN INTERNAL FAILURE OF COMPONENTS WITHIN THE ENGINE. THE ENGINE HAS BEEN SHIPPED TO MOBILE ALABAMA FOR A DETAILED INSPECTION.
20000102011429A	(-23) ON 1/2/2000, THE STUDENT DEPARTED MCE RW 30, CLIMBED TO 1500 MSL AND AT 80 IAS AND 2200 RPM, MADE A LEFT TURN AND DEPARTED IN A SOUTHEASTERLY DIRECTION. AT CRUISE FOR APPROX. 15 MINUTES, THE PILOT NOTICED THE AIRSPEED WAS STILL AT 80 IAS AND THE ENGINE 1800 RPM. THE PILOT APPLIED FULL THROTTLE BUT THE RPM DID NOT INCREASE. CARBURETOR HEAT WAS APPLIED TWICE AT SHORT INTERVALS AND RETURNED TO THE COLD POSITION WITHOUT ANY RESPONSE IN RPM. THE PILOT COULD NOT MAINTAIN LEVEL FLIGHT AND HAD LOST APPROX. 200 FT. AND THE AIRSPEED WAS DECAYING TO AROUND 60 IAS. THE A/C SLOWLY IMPACT A SOFT DIRT PLOWED FIELD ON THE NOSE GEAR, SHEARING OFF THE FORK AND WHELL FROM THE STRUT AND OVERTURNED. (.4)ON JANUARY 2, 2000, AT 1415 HOURS PACIFIC STANDARD TIME, A CESSNA 172A, N7249T, EXPERIENCED A PARTIAL LOSS OF ENGINE POWER AND CAME TO REST INVERTED AFTER MAKING AN EMERGENCY LANDING IN AN OPEN DIRT FIELD NEAR DOS PALOS, CALIFORNIA. THE AIRPLANE, OWNED AND OPERATED BY THE PILOT UNDER 14 CFR PART 91, SUSTAINED SUBSTANTIAL DAMAGE. THE STUDENT PILOT RECEIVED MINOR INJURIES. VISUAL METEOROLOGICAL CONDITIONS EXISTED FOR THE INSTRUCTIONAL FLIGHT TH                                                        AT HAD DEPARTED THE MERCED, CALIFORNIA, AIRPORT AT 1400. NO FLIGHT PLAN WAS FILED. IN AN INTERVIEW WITH A FEDERAL AVIATION ADMINISTRATION (FAA) INSPECTOR, THE STUDENT PILOT REPORTED THAT SHE HAD REFUELED THE AIRPLANE SEVERAL WEEKS PRIOR TO THE ACCIDENT FLIGHT. THE AIRPLANE WAS REFUELED WITH APPROXIMATELY 30 GALLONS, AND SHE HAD NOT FLOWN IT SINCE IT HAD BEEN REFUELED.  THE PILOT STATED THAT DURING THE PREFLIGHT SHE VERIFIED THAT SHE HAD "IN EXCESS OF 15 GALLONS" OF FUEL IN EACH WING BY UTILIZING A GRADUATED FUEL GAGE.  SHE THEN CHECKED FOR FUEL CONTAMINATION BY TAKING A SAMPLE FROM THE PORT OF EACH WING WITH NO DISCREPANCIES NOTED.  SHE REPORTED THAT THERE WERE NO PROBLEMS ENCOUNTERED DURING THE RUN-UP TO THE DEPARTURE FOR MERCED.  WHILE ENROUTE TO THE PRACTICE AREA, SHE PERFORMED SEVERAL PRACTICE TURNS.  ABOUT 30 MINUTES INTO THE FLIGHT, SHE NOTED A LOSS OF ALTITUDE AND ADDED THROTTLE TO REGAIN ALTITUDE, BUT DID NOT RECEIVE A CORRESPONDING POWER INDICATION.  SHE NOTED THE FUEL SELECTOR WAS IN THE BOTH POSITION AND ATTEMPTED TO TROUBLESHOOT THE PROBLEM BY SWITCHING TO THE LEFT AND THEN RIGHT FUEL TANK POSITIONS, AND APPLYING CARBURETOR HEAT.  SHE STATED THAT THERE WAS NO CHANGE AN D THE RPM'S CONTINUED TO DROP. THE ENGINE INSTRUMENTS WERE CROSSCHECKED AND SHE REAPPLIED CARBURETOR HEAT WITH NO CHANGE.  THE PILOT REPORTED THAT THE ENGINE WAS NOT RUNNING ROUGH OR SPUTTERING, IT WAS JUST NOT PRODUCING ENGOUGH POWER TO SUSTAIN FLIGHT.  DURING THE LANDING ROLLOUT, THE NOSE GEAR DUG INTO THE PLOWED DIRT FIELD, COLLAPSED, AND THE AIRPLANE NOSED OVER AND CAME TO REST INVERTED.  THE STUDENT PILOT INDICATED THAT SHE HAD PURCHASED THE ARIPLANE IN JUNE 1999, WITHOUT THE LOGBOOKS.  THE AIRFRAME AND POWERPLANT (A&P) MECHANIC WHO PERFORMED THE ANNUAL INSPECTION OF THE AIRPLANE SENT A LETTER TO THE FORMER OWNER REQUESTING THE LOGBOOKS.  THE FORMER OWNER RESPONDED BY INDICATING THAT THE LOGBOOKS HAD BEEN ACCIDENTALLY BURNED WITH THE TRASH.  IN THE LAST ENTRY FOR THE ANNUAL PERFORMED ON JUNE 6, 1999, THE A&P MECHANIC INDICATES THAT THE CARBURTOR WAS REPLACED TO COMPLY WITH AIRWORTHINESS DIRECTIVES 72-06-05, 93-19-04, AND 98-01-06.  AN ENGINE INSPECTION WAS CONDUCTED AT PLAIN PARTS IN PLEASANT GROVE, CALIFORNIA, ON FEBRUARY 9, 2000.  IT WAS NOTED THAT THE RETAINING NUT THAT HOLDS IN PLACE THE SERRATED THROTTLE LEVER TO THE SERRATED STOP OF THE THROTTLE SHAFT OF THE CARBURETOR  DID NOT HAVE A COTTER PIN. THE RETAINING NUT WAS FOUND LOOSE ON THE SHAFT, ALLOWING THE SERRATED PORTION OF THE THROTTLE LEVER TO NOT ENGAGE PROPERLY WITH THE SERRATED STOP OF THE THROTTLE SHAFT.
20000102020319I	(-23)MAKING FLIGHT CHECKING NEWLY CHANGED PROPELLER. DID NOT RETRACT GEAR, CIRCLED FOR LANDING.  ^PRIVACY DATA OMITTED^         FURTHER INSPECTION ON GOING.
20000102022139I	(-23)^PRIVACY DATA OMI^ AND HIS BROTHER, ^PRIVACY DATA OMITT^, ARE ALLEGED TO HAVE DISRUPTED A FLIGHT AND INTERFERED WITH CREW MEMBERS IN THE PERFORMANCE OF THEIR DUTIES BY THEIR IMPROPER AND ALARMING UTTERANCES CONCERNING THE FLIGHT'S SAFETY. AS A RESULT OF THEIR CONDUCT, THE CAPTAIN HAD THEM REMOVED FROM THE FLIGHT.
20000102026219I	(-23)AIRCRAFT WAS IN-FLIGHT FROM MIA TO DCA, IT DIVERTED TO RUD BECAUSE STRONG BURNING SMELL IN COCKPIT.  MAINTENANCE AT RDU PERFORMED EXTENSIVE TROUBLESHOOTING COULD NOT FIND THE PROBLEM.  ACFT WAS FERRIED TO MIA, TO FURTHER INVESTIGATE.  ON FERRY FLIGHT FOUND "OBSERVERS AUDIO SELECT PANEL" OF HAVING THE BURNING SMELL.  CREW PLACARDED COMPONENT, UPON LANDING IN MIA MAINTENANCE CHANGED AUDIO SELECT PANEL.
20000102039549I	(-23)AS THE PILOT APPLIED BRAKES DURING A TAXI BRAKE BURN IN MAINTENANCE CHECK WITH THE ANTI-SKID SYSTEM OFF, THE LEFT MAIN WHEEL BRAKE LOCKED, CAUSING THE AIRCRAFT TO TURN UNCONTROLLABLY TO THE LEFT. THE AIRCRAFT ROLLED OFF THE TAXIWAY BEFORE THE PILOT REGAINED CONTROL OF THE AIRCRAFT.  AS A RESULT, THE LEFT WING TIP STRUCK A TAXIWAY SIGN CAUSING MINOR DAMAGE TO THE WING TIP CAP ASSEMBLY.  AN INSPECTION OF THE BRAKE SYSTEM REVEALED NO ABNORMALTIES TO THE BRAKE ASSEMBLY COMPONENTS OR INSTALLATION.  A SYSTEMS FUNCTION CHECK WAS PERFORMED, WHICH RESULTED IN NORMAL OPERATIONS OF THE BRAKES WITH THE ANTI-SKID ON AND OFF.  THE LEFT WHEEL BRAKE ASSEMBLY WAS REPLACED AT THE REQUEST OF THE OPERATOR.
