c5	remark
20050102000269I	(-23) PILOT WAS LANDING AT SKY MANOR AIRPORT (N40), PITTSTOWN, NJ, AFTER FLYING FOR ABOUT 8 HOURS. PILOT FAILED TO EXTEND LANDING GEAR AND LANDED GEAR UP. AIRCRAFT SUSTAINED MINOR DAMAGE, AND NO INJURIES OCCURRED.
20050102000349I	(-23) ON 01/02/05, QXEA FLT 2321 DEPARTED HLN ENROUTE TO GTF, THE FLIGHT CREW EXPERIENCED AIRCRAFT ROLL TO THE RIGHT. THE PILOT BALANCED THE FUEL IN THE WINGS, BUT STILL HAD TO CORRECT THE AIRCRAFT FOR STRAIGHT FLIGHT WITH FULL LEFT AILERON TRIM. DURING THE DESCENT INTO GTF, THE F/O NOTICED THAT RIGHT INBOARD SPOILER WAS PARTIALLY EXTENDED AS INDICATED ON THE PFCS. DURING POST FLIGHT WALK AROUND, THE F/O NOTED THE SPOILER WAS DEPLOYED. QXEA MAINTENANCE PERSONNEL CAME AND TROUBLE-SHOT THE SYSTEM. MAINTENANCE PERSONNEL REMOVED AND REPLACED SPOILER LIFT DUMP VALVE. A NORMAL FLIGHT ATTITUDE, TEST FLIGHT WAS PERFORMED TO ENSURE ALL SPOILERS WERE FULLY RETRACTED AND THE AIRCRAFT WAS FERRIED TO PDX. A SDR WILL BE SUBMITTED BY AIR CARRIER. THE INCIDENT IS CONSIDERED CLOSED.
20050102000399I	(-23) PILOT WAS CONDUCTING A FLIGHT FROM BOERNE, TX (5C1) TO PLEASANTON, TX (KPEZ) ON 01/02/2005. FLIGHT WAS CONDUCTED IN INSTRUMENT CONDITIONS. PILOT WAS CLEARED TO EXECUTE THE GPS RWY 34 APPROACH BY ATC. PILOT ELECTED TO LAND STRAIGHT INTO RUNWAY 34. AIRCRAFT TOUCHED DOWN LONG, BRAKES WERE INEFFECTIVE AND AIRCRAFT RAN OFF THE END OF THE RUNWAY, THROUGH A PERIMETER FENCE, ACROSS A ROAD AND THROUGH TWO HIGHWAY SIGNS. AIRCRAFT REMAINED UPRIGHT ON THE LANDING GEAR, NO INJURIES TO PILOT OR PASSENGER. NEAREST WEATHER INFORMATION FROM STINSON AIRPORT WEATHER STATION INDICATED WINDS 150 DEGREES 11 KNOTS GUSTING TO 18 KNOTS. RUNWAY WAS WET FROM RECENT RAINS, POSSIBLY LIGHT RAIN AT TIME OF INCIDENT. ^PRIVACY DATA OMITTED^
20050102000439A	(-23) AT CRUISE ENROUTE TO PALO ALTO (PAO) PILOT (PIC) NOTICED A WARNING HORN INDICATING HIGH OIL TEMP, AND THE GAUGE WAS FLUCTUATING. A PRECAUTIONARY LANDING WAS MADE AT MODESTO, OIL LEVEL CHECKED AND TOPPED OFF, ENGINE RUN UP NORMAL SO DEPARTED IFR TO PAO. IN CRUISE NOTICED WARNING HORN AGAIN CONSIDERED LANDING AT LIVERMORE, BUT WEATHER WAS NOT ACCEPTABLE. CONTINUED TOWARDS PAO AND DISCUSSED WITH NORCAL ABOUT LANDING AT SAN JOSE, BUT OPTED TO CONTINUE TO PAO DUE TO ONLY AN ADDITIONAL 8 MIN FARTHER. CONTACTED PAO TOWER AND INDICATED LANDING WITH POWER OFF AND TOLD THE TOWER ABOUT INDICATION ISSUES. SET UP TO LAND ON RWY 31 WITH A STANDARD PATTERN, BUT TURNED TO BASE EARLY, CONTINUED PATTERN WITH POWER SET AT 20 INCHES OF MANIFOLD PRESSURE. SHE REALIZED SHE WAS HIGH BUT WAS CONCERNED ABOUT ENGINE FAILURE AND DID NOT WANT TO GO AROUND. TOUCHED DOWN BEYOND MIDDLE OF RWY ON DEPARTURE SIDE. REMEMBERS SLIDING AND SEEING THE END OF THE RWY APPROACHING. WAS CONCERNED ABOUT HITTING THE DIKE HEAD ON AND APPLIED POWER AND ATTEMPTED TO LIFT THE NOSE. THE AIRCRAFT PITCHED UP AND LEFT WING DIPPED DOWN. LEFT WING CONTACTED THE DIKE BROKE OFF AS AIRCRAFT CARTWHEELED OVER THE DIKE AND STOPPED FACING RWY 13.
20050102001179I	(-23) WHILE BEING TOWED TO GATE 22, NWAA, A-320 AIRCRAFT, N327NW COLLIDED WITH THE TUG WHEN THE TUG APPLIED THE BRAKES CAUSING IT TO JACK KNIFE AND THE TOW BAR TO SNAP IN HALF. THE AIRCRAFT HIT THE TUG JUST FORWARD OF THE AVIONICS VENT ON THE RIGHT SIDE OF THE AIRCRAFT CAUSING A 2" DIAMETER PUNCTURE FORWARD OF THE E/E DOOR AND CONTINUING DOWN THE CENTER LINE OF THE AIRCRAFT, TAKING OUT SEVERAL ANTENNAS, LOWER BEACON AND DRAIN MASKS. THE TOP OF THE TUG WAS TORN OFF AFTER IMPACT CAUSING DAMAGE TO THE RIGHT WING TO BODY FAIRING (12" GASH, 1" WIDE) AND THE LEFT MLG DOOR (12" DIAMETER HOLE). BEFORE COMING TO REST THE TUG ALSO BROKE THE LEFT BRAKE LINE AND FITTING AND DESTROYED THE AFT ANTENNAS AND DRAIN MASK. INJURY SUMMARY NOT KNOWN BY ASI.
20050103000129I	(-23) SNOW AND ICE ON RUNWAY. PILOT REPORTED NO (NIL) BRAKING ACTION LAST 1000FT. AIRCRAFT PERFORMANCE HIGH ALTITUDE AND CONDITIONS AT AIRPORT. FURTHER INVESTIGATION WILL BE CONDUCTED BY NWAA CMO. ASAP OR SAFETY MEETING WILL BE HELD 01/10/2004.
20050103000389I	(-23) DEPARTING RWY 28R AT MYF, DURING TAKEOFF (T/O) ROLL PASSING THROUGH 90-95 KTS, THE CREW DOOR POPPED OPEN. PILOT OPTED TO ABORT T/0 PULLED POWER, STARTED BRAKING HAD VERY POOR RESPONSE TO BRAKING, AIRCRAFT STARTED TO HYDROPLANE, COULD NOT STOP AIRCRAFT. PLANE CAME TO REST IN THE MUD 75-95 YARDS OF THE RUNWAY TO THE RIGHT HAND SIDE. (A STRONG RAIN CELL HAD JUST PASSED OVER THE FIELD).
20050103000409A	(-23) ON JANUARY 3, 2005, AT APPROXIMATELY 1345 LOCAL, N135NW, AN EC-135 HELICOPTER OPERATED BY OMNIFLIGHT HELICOPTERS WAS DESTROYED DURING A FORCED LANDING NEAR THE CASA GRANDE AIRPORT. THE AIRCRAFT DEPARTED FROM WILLIAMS GATEWAY AIRPORT TO CONDUCT A PART 135 FLIGHT EVALUATION AND WAS CONDUCTING CLOSED TRAFFIC PATTERN WORK AT CASA GRANDE AIRPORT. AFTER APPROXIMATELY 40 MINUTES OF CLOSED PATTERN WORK, WHILE ON RIGHT DOWNWIND FOR RUNWAY 5, THE CREW FELT THAT THE AIRCRAFT HAD FLOWN THROUGH SOME TURBULENCE. AFTER TURNING BASE, AS A DESCENT WAS INITIATED, THE AIRCRAFT BEGAN AN UNCOMMANDED 60-90 DEGREE BANK TO THE RIGHT, FOLLOWED BY ANOTHER 60-90 DEGREE BANK TO THE LEFT. THE PIC ASSUMED THE CONTROLS AND INITIATED A POWERED DESCENT WHILE ATTEMPTING TO MAINTAIN A LEVEL ATTITUDE. AT APPROXIMATELY 40-60 FEET, WITH BOTH CREWMEMBERS ON THE CONTROLS, AFT CYCLIC WAS ENTERED TO FLARE THE AIRCRAFT. THE AIRCRAFT WAS WITNESSES TO LEVEL MOMENTARILY, AND THEN DESCEND VERTICALLY TO THE GROUND. THE CREW DOES NOT RECALL IF COLLECTIVE WAS APPLIED TO CUSHION THE LANDING. THE AIRCRAFT IMPACTED THE GROUND IN A TAIL LOW ATTITUDE CAUSING THE TAILBOOM TO SEPARATE. THE AIRCRAFT THEN CONTACTED THE GROUND ON BOTHSKIDS WITH SIGNIFICANT FORCE. BOTH SKIDS SPREAD, THE RIGHT SKID SEPARATED AND FLEW UP INTO THE MAIN ROTOR AND WAS FLUNG TO THE LEFT SIDE OF THE AIRCRAFT APPROXIMATELY 50 FEET AWAY. THE AIRCRAFT THEN ROLLED TO THE LEFT CAUSING MAIN ROTOR BLADE CONTACT WITH THE GROUND. ALL FOUR BLADES WERE DESTROYED. THE AIRCRAFT CAME TO REST UPRIGHT WITH THE TAILBOOM PARTIALLY SEPARATED AND DISPLACED AT A 45 DEGREE ANGLE TO THE RIGHT. THE CREW PERFORMED AN EMERGENCY SHUTDOWN OF THE ENGINES WITH THE ENGINE CONTROL SWITCHES (BOTH ENGINES WERE STILL OPERATING). THE CREW WAS ABLE TO EGRESS THE AIRCRAFT UNASSISTED AND RECEIVED ONLY MINOR INJURIES.
20050103000699A	(-23) ON JANUARY 3, 2005 THE PILOT ^PRIVACY DATA OMITTED^ A PRIVATE PILOT, WAS ACTING AS PILOT IN COMMAND OF N310RA, A 1965 CESSNA 310-J AIRCRAFT. ONE PASSENGER ACCOMPANIED THE PILOT ^PRIVACY DATA ^ ON THIS FLIGHT FROM AUBURN, WASHINGTON TO DAVENPORT, WASHINGTON. THIS PARTICULAR FLIGHT WAS CONDUCTED UNDER AN INSTRUMENT FLIGHT PLAN. ACCORDING TO THE PILOT'S STATEMENT, HE OBTAINED A VFR ON TOP CLEARANCE UNTIL HE HAD TO OBTAIN AN IFR CLEARANCE TO DESCEND BELOW 7,500 MSL INTO IMC CONDITIONS. HE THEN STATED HE WAS THEN CLEARED DIRECT TO THE GEG VOR AND EXPECT THE ILS RWY 3 APPROACH INTO SPOKANE INTERNATIONAL AIRPORT. DURING HIS DESCENT THE AIRCRAFT EXPERIENCED "LIGHT MIXED ICING" UNTIL THE AIRCRAFT REACHED 4,000 FEET MSL. IN ADDITION, THE PILOT ^PRIVACY DATA ^ STATED THE AIRCRAFT'S DEICING SYSTEMS WERE OPERATIONAL (BOOT, PROPS, & HOT WINDSHIELD). AFTER DESCENDING TO VMC CONDITIONS HE CANCELLED HIS IFR CLEARANCE AND PROCEEDED TO THE DAVENPORT, WA AIRPORT (S68) VFR. THE PILOT ^PRIVACY DATA ^ ALSO NOTED THAT HE ACTIVATED THE DEICE SYSTEMS ON THE DOWNWIND LEG OF THE DAVENPORT AIRPORT'S TRAFFIC PATTER. THE CESSNA 310 AIRCRAFT STALLED UPON LANDING RESULTING IN SUBSTANTIAL DAMAGE TO THE AI    RCRAFT. THE AIRCRAFT RECEIVED SUBSTANTIAL DAMAGE TO INCLUDE TWO BENT PROPS, AND A BENT LEFT WING INBOARD OF THE ENGINE NACELLE. THE PILOT AND PASSENGER REPORTED NO INJURIES. NOTHING FOLLOWS.
20050103000799I	(-23) FLIGHT 5039 A BE-1900-D OPERATED BY GLBA HAD JUST COMPLETED BOARDING AT DEN FOR A FLIGHT TO MCK. THE ENGINES HAD NOT BEEN STARTED AND THE AIR STAIR DOOR WAS STILL OPEN. A TUG WITH A BAG CART ATTACHED OPERATED BY A DRIVER EMPLOYED BY GLBA PARKED ON THE LEFT SIDE OF THE AIRPLANE OUTBOARD OF THE WING AND DROPPED OFF SOME BAGS FOR THE FLIGHT. ACCORDING TO THE DRIVER OF THE TUG, ^PRIVACY DATA OMITTED^ HE ATTEMPTED TO GET BACK ON THE TUG AND SLIPPED. HE BELIEVES HE CAUGHT THE GEAR SHIFT LEVER OF THE TUG WITH HIS RIGHT HAND WHICH CAUSED THE TUG TO START MOVING. ^PRIVACY DATA OMITTED LEFT FOOT BECAME ENTANGLED BETWEEN THE LEFT REAR WHEEL AND THE FENDER AS THE TUG DRAGGED HIM IN A RIGHT CIRCLE IMPACTING THE LEFT ENGINE OF THE AIRPLANE AND PINNING HIM BETWEEN THE TUG AND THE AIR STAIR DOOR. DAMAGE TO THE AIRCRAFT WAS LIMITED TO THE PROPELLER, AND LOWER COWLING. THE TUG DRIVER SUSTAINED A SPRAINED ANKLE AND LACERATIONS TO HIS LEFT FOOT. NONE OF THE PASSENGERS, OR FLIGHT CREW WERE INJURED. THE TUG WAS NOT DAMAGED. INVESTIGATION FOUND NO MECHANICAL MALFUNCTION WITH TUG NO T72.
20050103002239A	(-23) UPON COMPLETION OF THE VOR DME RWY 30 APPROACH IN IMC CONDITIONS AT THERMAL AIRPORT, THE PILOT REDUCED POWER ON THE AIRCRAFT TO LAND. THE AIRCRAFT TOUCHED DOWN APPROXIMATELY HALF WAY DOWN THE RUNWAY, BOUNCED TWO TIMES, AND RAN OFF THE END OF THE RUNWAY. THE NOSE WHEEL COLLAPSED AND BOTH PROPELLERS STRUCK THE GROUND.
20050104000099I	(-23) AFTER DEPARTING CRQ (MCCLELLAN-PALOMAR AIRPORT, CARLSBAD, CA) FOR LAS VEGAS AND REACHING FLIGHT LEVEL 270, THE CREW HEARD AN ARCHING NOISE. THE CABIN "NO SMOKING/FASTEN SEAT BELT LIGHT" SMOLDERED, SPARKED, THEN CAUGHT FIRE. THE CREW WAS ABLE TO EXTINGUISH THE FIRE, BROADCAST THE EMERGENCY, AND LAND AT KVCV WITHOUT FURTHER INCIDENT.
20050104000599A	(-23) PILOT DEPARTED AIRPORT FOR A FLIGHT IN THE LOCAL AREA. APPROXIMATELY 15-20 MINUTES INTO THE FLIGHT THE ENGINE STOPPED RUNNING. THE PILOT WAS AT APPROXIMATELY 800 FT. THE PILOT ATTEMPTED ONE RESTART OF THE ENGINE TO NO AVAIL. THE AIRCRAFT WAS 2 MILES FROM THE AIRPORT AT 800 FT. THE PILOT DID NOT FEEL THAT A RETURN TO THE AIRPORT FOR LANDING WAS FEASIBLE. HE LOOKED AND NOTED A SALT MARSH THAT WAS FREE OF TREES. HE SET UP AND LANDED IN THE SALT MARSH. THE LANDING GEAR WAS TORN FROM THE AIRCRAFT AND THE FUSELAGE SEPARATED INTO 2 PIECES. THE PILOT SAFELY EGRESSED THE AIRCRAFT WITH NO INJURIES.
20050104000769I	(-23) ON JANUARY 4, 2004, AT THE DELAND MUNICIPAL AIRPORT, DELAND, FLORIDA, SKYDIVER ^PRIVACY D^, A FOREIGNER FROM PRAGUE, CZECH REPUBLIC WAS SEVERELY INJURED AFTER HITTING THE GROUND. ^PRIVACY D^ WAS PLANNING TO SWOOP BUT APPEARED TO LOSE ALTITUDE AWARENESS WHEN HE HIT THE GROUND. THE SKYDIVER WAS JUMPING WITH A VENGENACE 120 CANOPY WITH AN EXIT WEIGHT OF 226 LBS. ALSO, OUT OF HIS 300 PLUS JUMPS THIS WAS HIS SECOND JUMP WITH THIS PARACHUTE. THE SKYDIVER WAS JUMPING A SMALL CANOPY FOR HIS EXPERIENCE LEVEL. ^PRIVACY D^ WAS TAKEN TO THE HALIFAX MEDICAL CENTER IN DAYTONA BEACH, FLORIDA WHEN AFTER TWO DAYS IN INTENSIVE CARE PASSED AWAY. ^PRIVACY DATA OMITTED^ EQUIPMENT: MAIN CANOPY-VENGEANCE 120 SERIAL NUMBER VN 001011. RESERVE CANOPY-MASS WP130, (FOREIGN) SERIAL NUMBER-7842/03. CONTAINER-MIRAGE 64.1 MT SERIAL NO. 05859.   PARACHUTE INCIDENT.
20050104001649A	(-23) ON 01/04/2005 ABOUT 1230 DST, CE-172 N365SP, PILOTED BY ^PRIVACY DATA OMITTED^ (PILOT NO. 1), LEFT POMPANO AIRPORT, FL ON A PLEASURE FLIGHT WITH FLIGHT INSTRUCTOR, ^PRIVACY DATA OMITTED^                     (PILOT NO. 2), AS HIS PASSENGER. LATER ON, ABOUT 1432 HRS., PILOT NO. 1 MADE AN ATTEMPT TO LAND N365SP, AT AIRGLADES AIRPORT, CLEWISTON, FL. THE LANDING WAS UNSUCCESSFUL. THE AIRCRAFT WAS ROLLING OFF THE RUNWAY WHEN PILOT NO. 2 TOOK OVER THE FLIGHT CONTROLS TO CORRECT THE LANDING. HE ADDED FULL POWER TO RECOVER BUT THE AIRCRAFT WENT OFF THE RUNWAY INTO A DITCH. BOTH PILOTS WERE UNINJURED. THE AIRCRAFT SUSTAINED SUBSTANTIAL DAMAGE.
20050104034389A	(-23) THE PILOT PIC ^PRIVACY DA^, A/C - N17HF CONTACTED CGF TOWER FOR LANDING. N17HF WAS CLEARED TO LAND RWY 24, AFTER TOUCH DOWN A/C APPARENTLY VEERED OFF TO THE RIGHT OF CENTER LINE, RIGHT LANDING GEAR HIT THE GRASS FIRST THEN THE ENTIRE A/C DEPARTED THE RUNWAY. A/C CROSSED TAXIWAY B, IT HIT TWO TAXIWAY SIGNS AND ENDED UP TRAVELING SIDEWAYS AND PARALLEL TO RUNWAY 24. THE RIGHT LANDING GEAR WAS TORN FOR ITS UPPER MOUNTS AND COLLAPSED, CAUSING SUBSTANTIAL DAMAGE TO THE AIRCRAFT WING STRUCTURE. ALSO, AS A RESULT OF STRIKING TAXI SIGNS AND LIGHTS A NUMBER OF HOLE PENETRATED THE FUSELAGE SKIN WITH THE MOST SEVERE ON THE RIGHT SIDE BELLY RESULTING IN STRUCTURAL DAMAGE TO SOME STRINGERS AND FRAMES. NO ONE WAS INJURED.
20050105000029I	(-23) AIRCRAFT LANDED ON RUNWAY 23 AT EQY. DURING ROLL OUT THE AIRCRAFT VEERED TO THE LEFT AND THE PILOT COULD NOT CORRECT. THE NOSE GEAR FOLDED PRIOR TO AIRCRAFT LEAVING THE RUNWAY AT APPROX 2,000 FT. AIRCRAFT DID NOT COME IN CONTACT WITH ANYTHING ELSE. PRELIMINARY INVESTIGATION REVEALED A SECTION OF THE NOSE GEAR TRUNION ATTACH AREA BROKEN ON THE RIGHT SIDE OF THE ENGINE MOUNT, PN 84010-02.
20050105000039A	(-23) DURING A PART 91 RE-POSITIONING FLIGHT FROM FALKNER, MS, ON 01/05/2005, AT 23:03 LOCAL, THE AIRCRAFT IMPACTED SEVERAL TREES, TERRAIN AND WAS DESTROYED. THE PILOT WAS FATALLY INJURED. THE FLIGHT WAS VFR, HOWEVER, IFR METEOROLOGICAL CONDITIONS PREVAILED, NO WEATHER BRIEFING, WITH LIMITED VISIBILITY, AND DETERIORATING WEATHER.
20050105003059A	(-23) AIRCRAFT DEPARTED P-19 AT APPROX 16:45 PM. ACCORDING TO WITNESS STATEMENTS THE AIRCRAFT WAS PERFORMING WING OVER MANEUVERS AND AT THE APEX OF THE MANEUVER THE PILOT LOST CONTROL OF THE AIRCRAFT AND STARTED INTO A FLAT SPIN. THIS WAS VERIFIED BY WITNESS MARKS LEFT BY THE IMPACT OF THE AIRCRAFT AND ITS LACK OF FORWARD MOTION. THE TWO OCCUPANTS WERE FATALLY INJURED.
20050105004129I	(-23) ON JANUARY 05, 2005, AT 11:55 EDT, A CESSNA CITATION 550, N92JC, REGISTERED TO FIRST WD CO INC, LANDED ON RUNWAY 17 LEFT AT ST. PETE CLEARWATER AIRPORT (PIE). DURING THE FIRST 600 TO 800 FEET AFTER TOUCHDOWN THE RIGHT MAIN AIRCRAFT TIRE BLEW AND SHREDDED APART. THE ACTUAL WEATHER AT PIE WAS VMC. THE AIRCRAFT DID NOT SUSTAIN ANY DAMAGE FROM THE TIRE COMING APART. THE FLIGHT ORIGINATED AT ROCKFORD, IL.
20050105004569I	(-23) ON 1-5-2005 AT APPROX 1900 CENTRAL STANDARD TIME, THE ABOVE AIRCRAFT OPERATED BY BUSINESS AVIATION OF SIOUX FALLS, SD (A CFR PART 135/CARGO OPERATOR) WAS CLIMBING THROUGH FL180 AFTER TAKEOFF FROM MINOT, ND WHEN THE PILOT'S WINDSHIELD DISINTEGRATED BLOWING OUTWARD LEAVING ONLY THE FRAME INTACT. THE PILOT ^PRIVACY DATA OMI^ MOVED TO THE RIGHT SEAT AND RETURNED THE AIRCRAFT TO MINOT AND LANDED AFTER RECEIVING A GREEN SIGNAL LIGHT FROM MINOT TOWER. MINNEAPOLIS CENTER, APPROACH CONTROL, AND TOWER COULD NOT COMMUNICATE WITH THE PILOT. THE PILOT RECEIVED NO INJURIES. MORE INFORMATION WILL BE AVAILABLE WHEN MAINTENANCE RECORDS ARE REVIEWED. THE INVESTIGATION IS ONGOING.
20050105004609I	(-23) 14TH STAGE DUCT WARNING MESSAGE FOR NUMBER TWO RECEIVED ON CLIMB. CREW DECLARED EMERGENCY AND LANDED AT CLEVELAND WITHOUT INCIDENT. MESA MAINTENANCE REMOVED AND REPLACED THE NUMBER TWO ENGINES 14TH STAGE PYLON LOOP. AIRCRAFT RETURNED TO SERVICE.
20050106000059I	(-23) A/C SKIDDED OFF THE END OF RUNWAY 22 AFTER LANDING AT STILLWATER OKLAHOMA.
