ev_id,entities_json,hfacs_json,relationships_json,extraction_status
20160418X20327,"[{""text"": ""operator_mental, unsafe_perception"", ""role"": ""hfacs_classifications""}]","{""operator_mental"": [""Channelized Attention"", ""Distraction"", ""Haste""], ""unsafe_perception"": [""Misjudged Distance/Altitude/Airspeed"", ""Spatial Disorientation"", ""Visual Illusion""]}","[{""subject"": ""Failed to Prepare for Flight"", ""relation"": ""LEADS_TO"", ""object"": ""Inadequate Supervision"", ""evidence"": ""The pilot reported that the accident flight was his first experience flying to that airport, and that neither his co-owners of the airplane, nor his insurance company, required any checkout flight to that airport.""}, {""subject"": ""Failed to Prepare for Flight"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Inadequate Supervision"", ""evidence"": ""The pilot reported that he was only vaguely aware of the visual illusions associated with the landing approach; and that he was unaware of, and never saw or used, the pulsating visual approach slope indicator (PVASI) with which the runway was equipped.""}, {""subject"": ""Failed to Prepare for Flight"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Inadequate Supervision"", ""evidence"": ""The pilot's incomplete preparations for the flight, particularly with regard to the airport's peculiarities and associated hazards, resulted in the pilot conducting an inordinately low final approach.""}]",success
20121202X23953,"[{""text"": ""HISTORY OF FLIGHT, LEFT SEAT PILOT, PERSONNEL LIMITS"", ""role"": ""NARRATIVE"", ""tier"": ""operator_limits""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_skill"": [""Inadvertent Flight Control Use""]}",[],success
20090911X81041,"[{""text"": ""The pilot's failure to maintain aircraft control and altitude while maneuvering after takeoff."", ""role"": null, ""tier"": null}]","{""operator_mental"": [""Channelized Attention"", ""Distraction""], ""unsafe_skill"": [""Omitted Checklist Step""]}",[],success
20180602X95130,"[{""text"": ""The pilot's decision to fly under a thunderstorm and a subsequent encounter with turbulence and restricted visibility in heavy rain, which resulted in a loss of control."", ""role"": ""narrative"", ""tier"": """"}, {""text"": """", ""role"": """", ""tier"": """"}]","{""operator_mental"": [""Distraction""], ""unsafe_decision"": [""Improper Procedure""]}",[],success
20121219X45033,"[{""text"": ""operator_mental: Distraction, Mental Fatigue"", ""role"": ""operator_mental"", ""tier"": ""operator_mental""}, {""text"": ""unsafe_skill: Inadvertent Flight Control Use"", ""role"": ""unsafe_skill"", ""tier"": ""unsafe_skill""}]","{""org_process"": [""Risk Management""], ""situational_phys"": [""Weather"", ""Lighting"", ""Terrain""], ""situational_tech"": [""Equipment Design"", ""Automation"", ""Interface""], ""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_skill"": [""Inadvertent Flight Control Use""]}",[],success
20090925X64658,"[{""text"": ""Distraction, Mental Fatigue, Improper Procedure"", ""role"": ""operator_mental, unsafe_decision"", ""tier"": ""operator_mental, unsafe_decision""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_decision"": [""Improper Procedure""]}",[],success
20121126X24312,"[{""text"": ""owner/pilot"", ""role"": ""operator_mental""}, {""text"": ""passenger"", ""role"": ""operator_mental""}]","{""unsafe_decision"": [""Improper Procedure"", ""Misdiagnosed Emergency"", ""Exceeded Ability"", ""Inappropriate Maneuver"", ""Poor Decision""], ""unsafe_skill"": [""Breakdown in Visual Scan"", ""Omitted Checklist Step"", ""Failed to Prioritize Attention"", ""Poor Technique"", ""Inadvertent Flight Control Use"", ""Over-controlled Aircraft""]}",[],success
20090908X11426,[],"{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_skill"": [""Failed to Prioritize Attention""]}","[{""subject"": ""Failed to Communicate"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Inadequate Supervision"", ""evidence"": ""The pilot was the last known person to work on the airplane, and several days before the accident had advised the kit manufacturer that he had cleaned and retorqued all the bolts. Whether he meant only the gearbox-to-adapter bolts or whether he included the flange bolts among those torqued is not known; there were no maintenance entries in the airplane's logbook.""}, {""subject"": ""Failed to Communicate"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Inadequate Supervision"", ""evidence"": ""The previous owner observed that the gearbox retaining bolts were loose, and advised the pilot that they had to be tightened. The previous owner subsequently saw the pilot tightening the bolts without using a torque wrench, and advised him that he needed to use one.""}]",success
20160405X01816,"[{""text"": ""Crew Rest Violation"", ""role"": ""sub_category"", ""tier"": ""unsafe_skill""}]","{""operator_physical"": [""Physical Fatigue""], ""personnel_readiness"": [""Excessive Physical Training""]}","[{""subject"": ""Failed to Prepare for Flight"", ""relation"": ""LEADS_TO"", ""object"": ""Loss of Situational Awareness"", ""evidence"": ""The pilot reported that he noted no anomalies during the preflight inspection or engine run-up. After takeoff, the airplane proceeded toward the destination airport between 1,200 and 1,500 ft mean sea level. After levelling off, the pilot slowly leaned the fuel-to-air ratio.""}, {""subject"": ""Failed to Prepare for Flight"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Excessive Physical Training"", ""evidence"": ""The pilot reported that he noted no anomalies during the preflight inspection or engine run-up. After takeoff, the airplane proceeded toward the destination airport between 1,200 and 1,500 ft mean sea level. After levelling off, the pilot slowly leaned the fuel-to-air ratio.""}, {""subject"": ""Failed to Prepare for Flight"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Excessive Physical Training"", ""evidence"": ""The pilot reported that he noted no anomalies during the preflight inspection or engine run-up. After takeoff, the airplane proceeded toward the destination airport between 1,200 and 1,500 ft mean sea level. After levelling off, the pilot slowly leaned the fuel-to-air ratio.""}]",success
20111103X34623,"[{""text"": ""Pilot-in-command (PIC) and second-in-command (SIC)"", ""role"": """", ""tier"": """"}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_skill"": [""Omitted Checklist Step""]}",[],success
20140327X35539,"[{""text"": ""operator_mental"", ""role"": ""operator_physical""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue"", ""Get-home-itis"", ""Haste"", ""Task Saturation"", ""Loss of Situational Awareness"", ""Misplaced Motivation""]}","[{""subject"": ""Complacency"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Spatial Disorientation"", ""evidence"": ""The pilot's complacency due to the effectiveness of the night vision goggles likely contributed to his experiencing spatial disorientation.""}]",success
20080228X00245,"[{""text"": ""Improper Procedure, Misdiagnosed Emergency, Breakdown in Visual Scan, Omitted Checklist Step, Failed to Prioritize Attention, Poor Technique, Inadvertent Flight Control Use, Over-controlled Aircraft, Improper Procedure, Misdiagnosed Emergency"", ""role"": ""unsafe_decision, unsafe_skill""}]","{""unsafe_decision"": [""Improper Procedure"", ""Misdiagnosed Emergency""], ""operator_mental"": [""Channelized Attention"", ""Complacency"", ""Distraction"", ""Mental Fatigue"", ""Get-home-itis"", ""Haste"", ""Task Saturation"", ""Misplaced Motivation""], ""unsafe_skill"": [""Breakdown in Visual Scan"", ""Omitted Checklist Step"", ""Failed to Prioritize Attention"", ""Poor Technique"", ""Inadvertent Flight Control Use"", ""Over-controlled Aircraft""]}",[],success
20111021X85131,"[{""text"": ""N422HP"", ""role"": ""aircraft_registration"", ""tier"": """"}]","{""operator_mental"": [""Distraction""], ""unsafe_decision"": [""Misdiagnosed Emergency""], ""unsafe_skill"": [""Poor Technique""]}",[],success
20111023X81705,"[{""text"": ""Distraction"", ""role"": ""operator_mental""}]","{""operator_mental"": [""Distraction""]}","[{""subject"": ""Distraction"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Inadequate Supervision"", ""evidence"": ""The pilot was distracted by the loss of engine power, which likely contributed to his attempt to recover from an unusual attitude and ultimately led to the tail separation.""}, {""subject"": ""Distraction"", ""relation"": ""LEADS_TO"", ""object"": ""Get-home-itis"", ""evidence"": ""Pilot distraction may have been exacerbated by a desire to return home, leading to Get-home-itis.""}]",success
20160421X94028,"[{""text"": ""Pilot"", ""role"": ""operator_mental""}, {""text"": ""Rear seat passenger"", ""role"": ""unsafe_violation""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_decision"": [""Improper Procedure"", ""Misdiagnosed Emergency""], ""unsafe_perception"": [""Misjudged Distance/Altitude/Airspeed""], ""unsafe_violation"": [""Not Current/Qualified""]}",[],success
20150311X71032,"[{""text"": ""Personnel issues-Action/decision-Incorrect action selection-Pilot - C"", ""role"": ""unsafe_decision"", ""tier"": ""personnel_crm""}]","{""operator_mental"": [""Misplaced Motivation""], ""unsafe_skill"": [""Poor Technique""], ""unsafe_perception"": [""Misjudged Distance/Altitude/Airspeed""]}",[],success
20180520X33906,"[{""text"": ""HISTORY OF FLIGHT, PERSONNEL INFORMATION, AIRCRAFT INFORMATION"", ""role"": ""NARRATIVE"", ""tier"": ""HFACS""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_skill"": [""Poor Technique""], ""unsafe_decision"": [""Improper Procedure""], ""unsafe_violation"": [""Not Current/Qualified""]}",[],success
20180521X03556,[],"{""operator_physical"": [""Physical Fatigue""], ""unsafe_skill"": [""Poor Technique""], ""unsafe_decision"": [""Misdiagnosed Emergency""], ""unsafe_perception"": [""Spatial Disorientation""]}",[],success
20090926X65328,"[{""text"": ""N417AE"", ""role"": ""aircraft_registration""}]",{},[],success
20150304X81814,[],"{""operator_mental"": [""Channelized Attention"", ""Distraction"", ""Mental Fatigue""], ""unsafe_decision"": [""Improper Procedure"", ""Misdiagnosed Emergency"", ""Exceeded Ability"", ""Inappropriate Maneuver"", ""Poor Decision""]}","[{""subject"": ""Failed to Prepare for Flight"", ""relation"": ""LEADS_TO"", ""object"": ""Inadequate Supervision"", ""evidence"": ""The pilot's failure to properly execute the instrument approach procedure. Contributing to the accident were the pilot's improper preflight planning and his decision to conduct the flight in instrument meteorological conditions at night into forecast moderate turbulence and with inadequate avionics equipment for the planned flight.""}, {""subject"": ""Inadequate Supervision"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Failed to Prepare for Flight"", ""evidence"": ""The pilot's failure to properly execute the instrument approach procedure. Contributing to the accident were the pilot's improper preflight planning and his decision to conduct the flight in instrument meteorological conditions at night into forecast moderate turbulence and with inadequate avionics equipment for the planned flight.""}]",success
20150305X93207,"[{""text"": ""HISTORY OF FLIGHT"", ""role"": ""EVENT_TYPE"", ""tier"": ""operator_mental""}, {""text"": ""PERSONNEL INFORMATION"", ""role"": ""RESOURCE_MGMT_HUMAN_RESOURCE_MGMT"", ""tier"": ""personnel_readiness""}, {""text"": ""AIRCRAFT INFORMATION"", ""role"": """", ""tier"": ""situational_tech_equipment_design""}, {""text"": ""AIRCRAFT INFORMATION"", ""role"": """", ""tier"": ""unsafe_skill_breakdown_in_visual_scan""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""personnel_readiness"": [""Crew Rest Violation""], ""situational_tech"": [""Equipment Design""], ""unsafe_skill"": [""Breakdown in Visual Scan""]}",[],success
20150308X10201,"[{""text"": ""The pilot's decision to land during unfavorable wind conditions, which resulted in a loss of control due to settling with power."", ""role"": ""Description"", ""tier"": """"}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_decision"": [""Improper Procedure"", ""Misdiagnosed Emergency""]}",[],success
20121224X20556,"[{""text"": ""the pilot's inadequate preflight planning, which resulted in fuel exhaustion and a subsequent total loss of power in both engines during cruise flight."", ""role"": ""description"", ""tier"": ""operator_mental""}]","{""operator_mental"": [""Channelized Attention"", ""Distraction"", ""Mental Fatigue"", ""Task Saturation""]}",[],success
20121226X20928,[],"{""unsafe_decision"": [""Improper Procedure"", ""Misdiagnosed Emergency"", ""Exceeded Ability"", ""Inappropriate Maneuver"", ""Poor Decision""], ""unsafe_skill"": [""Breakdown in Visual Scan"", ""Omitted Checklist Step"", ""Failed to Prioritize Attention"", ""Poor Technique"", ""Inadvertent Flight Control Use"", ""Over-controlled Aircraft""], ""unsafe_perception"": [""Misjudged Distance/Altitude/Airspeed"", ""Spatial Disorientation"", ""Visual Illusion""]}","[{""subject"": ""Not Current/Qualified"", ""relation"": ""LEADS_TO"", ""object"": ""Inadequate Supervision"", ""evidence"": ""The crew consisted of two flight instructor pilots; one who was current and qualified in the airplane and the second pilot who was qualified but out of currency.""}, {""subject"": ""Not Current/Qualified"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Inadequate Supervision"", ""evidence"": ""The crew consisted of two flight instructor pilots; one who was current and qualified in the airplane and the second pilot who was qualified but out of currency.""}, {""subject"": ""Not Current/Qualified"", ""relation"": ""LEADS_TO"", ""object"": ""Failed to Communicate"", ""evidence"": ""The PUI had recently returned from a 12-month military deployment and had not flown for more than a year.""}]",success
20140318X21532,"[{""text"": ""operator_mental: Distraction, Mental Fatigue"", ""role"": ""operator_mental"", ""tier"": ""operator_mental""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""]}",[],success
20140308X02401,"[{""text"": ""Failed to Communicate"", ""role"": ""personnel_crm""}, {""text"": ""Improper Procedure"", ""role"": ""unsafe_decision""}]","{""operator_mental"": [""Misplaced Motivation""], ""operator_physical"": [""Physical Fatigue""], ""operator_limits"": [""Insufficient Reaction Time""], ""personnel_crm"": [""Failed to Communicate"", ""Failure of Leadership""], ""unsafe_decision"": [""Improper Procedure""], ""unsafe_perception"": [""Spatial Disorientation""]}","[{""subject"": ""Failed to Communicate"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Improper Procedure"", ""evidence"": ""The pilot/owner's decision to transfer physical control of the airplane during an inflight emergency to pilots with no previous experience in the accident airplane make and model contributed to the loss of control.""}, {""subject"": ""Failed to Communicate"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Inadequate Supervision"", ""evidence"": ""The maintenance records did not document repairs and modifications that had been performed on the airplane following a previous accident during which the airplane was substantially damaged, indicating inadequate supervision.""}]",success
20160425X71401,"[{""text"": ""The pilot's failure to maintain control of the helicopter yaw while operating in conditions conducive to loss of tail rotor effectiveness, resulting in an uncommanded rapid right yaw and ground impact."", ""role"": ""narrative"", ""tier"": ""unsafe_skill""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_skill"": [""Poor Technique""]}",[],success
20160404X74644,[],"{""operator_mental"": [""Channelized Attention"", ""Distraction""], ""personnel_crm"": [""Failed to Communicate"", ""Misinterpretation of Traffic Calls""]}",[],success
20150330X24438,"[{""text"": ""The pilot's decision to depart from an upsloping, soft grass runway at or near the airplane's maximum gross weight and with a high density altitude, which increased the airplane's ground roll and placed the airplane in close proximity to trees during the initial climb, and the pilot's subsequent inability to adequately compensate for gusting wind conditions, which resulted in a stall/mush and impact with trees and terrain during takeoff."", ""role"": ""narrative"", ""tier"": ""unsafe_decision""}]","{""operator_mental"": [""Misplaced Motivation""], ""unsafe_skill"": [""Poor Technique""]}",[],success
20090828X61756,"[{""text"": ""HFCAS SCHEMA"", ""role"": ""HFACS_SCHEMA"", ""tier"": ""HFACS_SCHEMA""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_decision"": [""Improper Procedure""], ""unsafe_skill"": [""Inadvertent Flight Control Use""], ""unsafe_violation"": [""Not Current/Qualified""]}",[],success
20180615X20728,"[{""text"": ""The pilot's failure to maintain airplane control during an attempted return to the airport following the separation of the spinner bulkhead during takeoff as a result of fatigue cracking. Contributing to the accident was the pilot's improper decision to fly an unairworthy airplane."", ""role"": ""narrative"", ""tier"": ""unsafe_skill""}]","{""operator_mental"": [""Channelized Attention"", ""Distraction"", ""Mental Fatigue""], ""unsafe_decision"": [""Improper Procedure"", ""Misdiagnosed Emergency"", ""Inappropriate Maneuver"", ""Poor Decision""]}",[],success
20121121X33535,"[{""text"": ""Physical Fatigue, Failed to Prioritize Attention, Poor Technique, Misdiagnosed Emergency"", ""role"": null, ""tier"": null}]","{""operator_physical"": [""Physical Fatigue""], ""unsafe_skill"": [""Failed to Prioritize Attention"", ""Poor Technique""], ""unsafe_decision"": [""Misdiagnosed Emergency""]}","[{""subject"": ""Failed to Correct Known Problem"", ""relation"": ""LEADS_TO"", ""object"": ""Failure of Leadership"", ""evidence"": ""The failure of the right main landing gear bearing actuator support brackets. Contributing to the accident was the owner's and operator's failure to comply with the airplane manufacturer's mandatory service bulletin and the Federal Aviation Administration's failure to issue an airworthiness directive.""}]",success
20180513X62754,"[{""text"": ""Haste"", ""role"": ""operator_mental""}, {""text"": ""Inadequate Inspection of Exhaust System"", ""role"": ""unsafe_skill""}]","{""operator_mental"": [""Misplaced Motivation""], ""unsafe_skill"": [""Omitted Checklist Step""]}",[],success
20180514X82202,[],{},[],parse_error
20121124X50143,"[{""text"": ""Distraction, Loss of Situational Awareness"", ""role"": ""unsafe_skill, unsafe_perception"", ""tier"": ""operator_mental""}]","{""operator_mental"": [""Distraction"", ""Loss of Situational Awareness""]}",[],success
20121118X14342,"[{""text"": ""N911FA, a Bell OH-58, was attempting to park on Pad 2 at the Pasadena Police Benedict Heliport, Altadena, California."", ""role"": ""HISTORY_OF_FLIGHT"", ""tier"": ""operator_physical""}, {""text"": ""The pilot of N911FA made a normal approach from the north to the main pad. From the main pad, the pilot performed a left pedal turn turning the helicopter to the east, and hover-taxied toward pad 2."", ""role"": ""HISTORY_OF_FLIGHT"", ""tier"": ""operator_physical""}, {""text"": ""The landing pilot's failure to maintain clearance with from obstacles a parked prior to landinghelicopter and the other pilot's failure to park the helicopter inside of a marked parking pad. Contributing to the accident was the landing pilot's obscured visibility due to moisture on the windscreenAlso contributing to the accident was the other pilot's action of placing the helicopter outside of a marked parking pad."", ""role"": ""HISTORY_OF_FLIGHT"", ""tier"": ""operator_physical""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue"", ""Get-home-itis"", ""Haste"", ""Task Saturation"", ""Loss of Situational Awareness"", ""Misplaced Motivation""], ""unsafe_decision"": [""Improper Procedure"", ""Misdiagnosed Emergency"", ""Exceeded Ability"", ""Inappropriate Maneuver"", ""Poor Decision""], ""unsafe_skill"": [""Breakdown in Visual Scan"", ""Omitted Checklist Step"", ""Failed to Prioritize Attention"", ""Poor Technique"", ""Inadvertent Flight Control Use"", ""Over-controlled Aircraft""]}","[{""subject"": ""Failed to Coordinate"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Inadequate Supervision"", ""evidence"": ""The landing pilot's failure to park the helicopter inside of a marked parking pad and the other pilot's action of placing the helicopter outside of a marked parking pad. Contributing to the accident was the landing pilot's obscured visibility due to moisture on the windscreenAlso contributing to the accident was the other pilot's action of placing the helicopter outside of a marked parking pad.""}, {""subject"": ""Inadequate Supervision"", ""relation"": ""LEADS_TO"", ""object"": ""Failed to Coordinate"", ""evidence"": ""The landing pilot's failure to park the helicopter inside of a marked parking pad and the other pilot's action of placing the helicopter outside of a marked parking pad. Contributing to the accident was the landing pilot's obscured visibility due to moisture on the windscreenAlso contributing to the accident was the other pilot's action of placing the helicopter outside of a marked parking pad.""}]",success
20180511X35249,"[{""text"": ""Spatial disorientation"", ""role"": ""operator_mental""}]","{""operator_mental"": [""Distraction"", ""Misplaced Motivation""]}",[],success
20180511X43419,"[{""text"": ""N803FC"", ""role"": ""aircraft_registration""}]","{""operator_mental"": [""Task Saturation""]}","[{""subject"": ""Terrain"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Inappropriate Maneuver"", ""evidence"": ""The radar data revealed that both maneuvers were similar except that the second maneuver began over higher elevation terrain. The airplane's separation from the terrain during the second maneuver was as low as 1,200 ft above ground level (when the airplane was at an altitude of 6,100 ft and was over terrain that was 4,900 ft) before radar contact was lost.""}]",success
20150302X31926,[],"{""operator_mental"": [""Distraction"", ""Task Saturation""], ""unsafe_skill"": [""Poor Technique""]}",[],success
20091009X21520,"[{""text"": ""Distraction, Mental Fatigue, Failed to Prioritize Attention"", ""role"": null, ""tier"": null}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_skill"": [""Failed to Prioritize Attention""]}",[],success
20160430X20726,"[{""text"": ""The pilot's failure to monitor and maintain clearance with terrain while maneuvering at low level."", ""role"": null, ""tier"": null}, {""text"": ""Contributing to the accident, was the pilot's failure to conduct an adequate amount of clearing turns while maneuvering at low level."", ""role"": null, ""tier"": null}]","{""operator_mental"": [""Channelized Attention"", ""Distraction""], ""unsafe_decision"": [""Improper Procedure""]}",[],success
20080222X00229,"[{""text"": ""captain and first officer inadvertently falling asleep during the cruise phase of flight. Contributing to the incident were the captain's undiagnosed obstructive sleep apnea and the flight crew's recent work schedules, which included several consecutive days of early-morning start times."", ""role"": ""narrative"", ""tier"": ""unsafe_skill""}]","{""operator_physical"": [""Impaired Physiological State"", ""Medical Illness""], ""personnel_crm"": [""Misinterpretation of Traffic Calls""]}",[],success
20111012X60235,[],"{""operator_mental"": [""Channelized Attention"", ""Distraction""], ""unsafe_decision"": [""Misdiagnosed Emergency""]}","[{""subject"": ""Failed to Correct Known Problem"", ""relation"": ""LEADS_TO"", ""object"": ""Inadequate Supervision"", ""evidence"": ""Several times during the inspection, electrical power was applied and different fuel quantities for the right tank were displayed, yet nothing was done to determine the reason for the different fuel indications.""}, {""subject"": ""Failed to Correct Known Problem"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Inadequate Supervision"", ""evidence"": ""Maintenance personnel incorrectly attributed the difference to fuel migration.""}, {""subject"": ""Failed to Correct Known Problem"", ""relation"": ""LEADS_TO"", ""object"": ""Human Resource Mgmt"", ""evidence"": ""Several times during the inspection, electrical power was applied and different fuel quantities for the right tank were displayed, yet nothing was done to determine the reason for the different fuel indications.""}, {""subject"": ""Failed to Correct Known Problem"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Human Resource Mgmt"", ""evidence"": ""Maintenance personnel incorrectly attributed the difference to fuel migration.""}]",success
20111113X85646,"[{""text"": ""operator_mental, unsafe_decision"", ""role"": ""hfacs_classifications""}]","{""operator_mental"": [""Distraction"", ""Mental Fatigue""], ""unsafe_decision"": [""Inappropriate Maneuver""]}",[],success
20130107X20121,"[{""text"": ""The pilot's decision to continue flight into instrument meteorological conditions, which resulted in his failure to maintain situational awareness and sufficient altitude to clear mountainous terrain."", ""role"": null, ""tier"": null}]","{""operator_mental"": [""Distraction"", ""Loss of Situational Awareness""]}",[],success
20090821X62833,"[{""text"": ""Inadvertent Flight Control Use"", ""role"": ""unsafe_skill"", ""tier"": ""unsafe_skill""}]","{""operator_physical"": [""Impaired Physiological State""], ""personnel_crm"": [""Failed to Coordinate""], ""unsafe_decision"": [""Improper Procedure""]}","[{""subject"": ""Inadvertent Flight Control Use"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Failed to Correct Known Problem"", ""evidence"": ""The complete loss of thrust due to the second-in-command's (SIC) inadvertent feathering of both propellers during a high-speed, low-altitude approach. Contributing to the accident was the pilot-in-command's inadequate monitoring of the SIC's performance.""}]",success
20180625X05502,"[{""text"": ""Haste"", ""role"": ""operator_mental"", ""tier"": ""unsafe_decision""}]","{""operator_mental"": [""Haste""]}","[{""subject"": ""Haste"", ""relation"": ""CO_OCCURS_WITH"", ""object"": ""Misjudged Distance/Altitude/Airspeed"", ""evidence"": ""The pilot's delayed decision to discontinue the takeoff when confronted with abnormal acceleration and airspeed indication; the reason for the abnormal acceleration could not be determined based on the available information.""}]",success
20090817X50308,"[{""text"": ""The pilot's failure to maintain adequate airspeed while maneuvering in the traffic pattern, which resulted in an aerodynamic stall/spin."", ""role"": ""operator_mental"", ""tier"": ""unsafe_skill""}, {""text"": ""Also causal was the failure of the left magneto due to improper assembly of the drive gear during installation on the engine, and the improper internal timing of the right magneto due to inadequate maintenance that reduced the ability of the magneto to produce an adequate spark, resulting in a partial loss of engine power."", ""role"": ""unsafe_skill"", ""tier"": ""unsafe_decision""}]","{""unsafe_skill"": [""Breakdown in Visual Scan"", ""Omitted Checklist Step"", ""Failed to Prioritize Attention"", ""Poor Technique"", ""Inadvertent Flight Control Use"", ""Over-controlled Aircraft""]}",[],success
