ev_id,severity_class,invest_type_binary,visual_condition,light_conditions,sky_conditions,person_involved,pilot_hours_bracket,year,month,combined_text,acft_make,acft_model,crew_age_mean,finding_description_agg,occurrence_description_agg,employment_qoq_pct,fuel_cost_qoq_pct,operating_revenue_qoq_pct,load_factor_qoq_pct,employment_bracket,fuel_bracket,revenue_bracket,loadfactor_bracket,_source
20000110000939I,2.0,,Unknown,Night,UNK,Other,Unknown,2000,1,"(-23) ON JANUARY 4, 2000, AT APPROXIMATELY 2010 HRS LOCAL TIME THE RIGHT WING OF THIS AIRCRAFT WAS DAMAGED WHEN THE

(-23) ON JANUARY 4, 2000, AT APPROXIMATELY 2010 HRS LOCAL TIME THE RIGHT WING OF THIS AIRCRAFT WAS DAMAGED WHEN THE AIRCRAFT WAS MARSHALLED INTO A STOPPED FUEL TRUCK.  THE AIRCRAFT FIRST STOPPED APPROXIMATELY 10 FEET SHORT OF THE PROPER POSITION.  THE MARSHALL WHO WAS STANDING ON THE CAPT'S SIDE OF THE AIRCRAFT COULD NOT SEE THAT THE FUEL TRUCK REPOSITIONED AFTER THE AIRCRAFT FIRST STOPPED THE DRIVER STATED THAT HE THOUGHT THAT THE AIRCRAFT HAD MADE ITS FINAL STOP.  THIS RAMP HAD BEEN REDESIGNED AND ANY OF THE RAMP PERSONNEL WERE NOT FAMILIAR WITH THE NEW PARKING SPOTS.",EMB,EMB145,,Pilot and Ground Cre;Fail Avd Objs Or Obs,,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000125039559I,2.0,,Unknown,Daylight,UNK,Unknown,Unknown,2000,1,"(-23)PILOT ABORTED TAKEOFF DUE TO SMOKE IN THE CABIN AND COCKPIT. PASSENGERS DEPLANED BY BOARDING STAND ON TAXIWAY.

(-23)PILOT ABORTED TAKEOFF DUE TO SMOKE IN THE CABIN AND COCKPIT. PASSENGERS DEPLANED BY BOARDING STAND ON TAXIWAY.  NUMBER ONE ENGINE REPLACED DUE TO METAL ON CENTER CHIP DETECTOR AND PRODUCING SMOKE.",BOEING,7373H4,,"OPDEF, Other Than Pi;7261",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000124003419I,2.0,,Unknown,Daylight,UNK,Other,Unknown,2000,1,"A NOTHWEST AIRLINES (NWA) B-747-400 WAS REPOSITIONING INTO GATE F-14. NWA PROCEDURES ARE TO TAXI AIRCRAFT UNDER ITS

A NOTHWEST AIRLINES (NWA) B-747-400 WAS REPOSITIONING INTO GATE F-14. NWA PROCEDURES ARE TO TAXI AIRCRAFT UNDER ITS OWN POWER TO SPOT 7 THEN TOW WITH TRACTOR INTO GATE.  IN THE PROCESS OF TOWING THE LEFT WING OF THE B-747-400 STRUCK THE RUDDER CAP OF A MESABA SAAB 340.  THE SF-340 HAD ENGINES RUNNING AND WAS READY FOR DEPARTURE.  THIS AIRCRAFT CONTAINED 16 PASSAGERS AND 3 CREW MEMEBERS, NO INJURIES RESULTED TO PERSONNEL AND ONLY MINOR DAMAGE TO BOTH AIRCRAFT.  THERE WERE 3 WING WALKERS, 1 TRACOTR DRIVER, AND 1 PERSON IN COCKPIT RIDING BRAKES INVOLVED IN AIRCRAFT MOVEMENT OPERATION.  THE WEATHER INCLUDED A SNOW/SLUSH COVERED RAMP, MAKING THE USE OF PAVEMENT MARKINGS DIFFICULT.",SAAB,340B,,"Miscellaneous, Other;Fail Avoid Ac None A",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000131000109I,2.0,,Unknown,Daylight,UNK,Other,Unknown,2000,1,"(-23) AIRCRAFT MARSHALLED TO TERMINAL AND STRUCK TERMINAL BLDG. WITH A WING TIP.  AILERON REPLACED.  NDT SHOWS NO S

(-23) AIRCRAFT MARSHALLED TO TERMINAL AND STRUCK TERMINAL BLDG. WITH A WING TIP.  AILERON REPLACED.  NDT SHOWS NO STRUCTURAL DEFORMATION.  AIRCRAFT MARSHALLER IS COMPANY EMPLOYEE AND UTILIZED THE INCORRECT AIRCRAFT CLEARANCE LINE (DELINEATED ON THE TARMAC) FOR THIS MODEL AIRCRAFT.  COMPANY TO PROVIDE REMEDIAL TRAINING TO THE EMPLOYEE.  COMPANY ALSO HAD DRUG AND ALCOHOL TESTS PERFORMED ON THE EMPLOYEE FOLLOWING THE INCIDENT.",AEROSP,ATR72212,,"Miscellaneous, Other;Inadeq Sup-Vision Tr",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000122002569I,2.0,,Unknown,Daylight,UNK,Unknown,5000+,2000,1,"ON JANUARY 22, 2000, AT 1350E, THE B-1900-D, S/N UE-13, REGISTERED AS N132VAND OPERATED BY ""AMWA"" AS FLIGHT #5562.

ON JANUARY 22, 2000, AT 1350E, THE B-1900-D, S/N UE-13, REGISTERED AS N132VAND OPERATED BY ""AMWA"" AS FLIGHT #5562. THE AIRCRAFT LANDED AT ""PIT"" ON RUNWAY 28R AFTER REPORTING A LANDING GEAR PROBLEM.  THE AIRCRAFT LANDED AND TAXIED TO THE RAMP WITHOUT INCIDNET.  MAINTENAMCE INSPECTED THE AIRCRAFT AND IT WAS FERRIED TO ""DUJ"".  AT ""DUJ"" THE LANDING GEAR WAS INSPECTED AND SWUNG.  NO DEFECTS WERE FOUND AND THE AIRCRAFT WAS RETURNED TO SERVICE INA CCORDANCE WITH BMM-32-30-00.  CONDUCTED BY DESK AUDIT AND CLOSED.",BEECH,1900D,,Undetermined;3200,,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000123001169I,2.0,,Unknown,Daylight,UNK,Unknown,Unknown,2000,1,"(-23) ON SUNDAY, JANUARY 23, 2000, AT 0713 LOCAL, AN AIR TRAN AIRWAYS DC-9 RETURNED AND LANDED AT BUF ON RUNWAY 23

(-23) ON SUNDAY, JANUARY 23, 2000, AT 0713 LOCAL, AN AIR TRAN AIRWAYS DC-9 RETURNED AND LANDED AT BUF ON RUNWAY 23 DUE TO AN UNSAFE GEAR INDICATION.  THE ARFF RESPONDED AND THE AIRCRAFT TAXIED TO THE GATE WITHOUT FURTHER INCIDENT.  CONTRACT MAINTENANCE, PRIOR AVIATION, INSPECTED THE AIRCRAFT AND PREPARED IT FOR A FERRY FLIGHT TO MCO.  MAINTENANCE THERE FOUND THE NOSE GEAR STRUT TO BE IMPROPERLY SERVICED.  THEY PROPERLY SERVICED THE STRUT AND INSPECTED ALL ACTUATORS AND UP-LOCKS WITH NO DEFECTS FOUND.  THE AIRCRAFT WAS THEN RETURNED TO SERVICE.  THIS INCIDENT IS CONSIDERED CLOSED.",DOUG,DC932,,Improper Maintenance;3222,,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000131003209I,2.0,,Unknown,Daylight,UNK,Unknown,Unknown,2000,1,"ON JANUARY 31, 2000 N203ME, A DC-9-32, SRTIAL NUMBER 47673, OPERATED BY MIDWEST EXPRESS AIRLINES, MWEA, WAS BOARDIN

ON JANUARY 31, 2000 N203ME, A DC-9-32, SRTIAL NUMBER 47673, OPERATED BY MIDWEST EXPRESS AIRLINES, MWEA, WAS BOARDING PASSENGERS FOR A SCHEDULED DEPARTURE OF FLIGHT NUMBER 107. MWEA FLIGHT ATTENDANTS EVACUATED THE BOARDED PASSENGERS THROUGH THE MAIN CABIN DOOR AFTER DISCOVERING SMOKE/FIRE IN THE LEFT AFT LAVAORY.  SEE ATTACHED.",DOUG,DC932,,Improper Maintenance;3820,,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000118022149I,2.0,,Unknown,Daylight,UNK,CoPilot,5000+,2000,1,"(-23)DURING IOE, NEWLY ASSIGNED FIRST OFFICER TURNED TOWARD INCORRECT VOR. MISTAKE WAS CAUGHT AND CORRECTED BY CAPT

(-23)DURING IOE, NEWLY ASSIGNED FIRST OFFICER TURNED TOWARD INCORRECT VOR. MISTAKE WAS CAUGHT AND CORRECTED BY CAPTAIN (CHECK AIRMAN).  CAPTAIN WAS COUNSELED BY HIS ASST.  CHIEF PILOT ^PRIVACY DATA OMITTED^                                                               SEE PILOT DEVIATION #IGL2520000031 FOR DETAILS.",DOUG,DC9*,,Pilot Induced;Unable Util Navig Fa,,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000117001189I,2.0,,Unknown,Night,UNK,Unknown,Unknown,2000,1,"(-23) ON JANUARY 17, 2000, SOUTHEAST AIRLINES DOUGLAS DC-9, N930BB, DEPARTED COLUMBIA AIRPORT (COU), AND MADE AN UN

(-23) ON JANUARY 17, 2000, SOUTHEAST AIRLINES DOUGLAS DC-9, N930BB, DEPARTED COLUMBIA AIRPORT (COU), AND MADE AN UNSCHEDULED LANDING AT SPRINGFIELD/BRANSON REGIONAL AIRPORT (9SGF), DUE TO AN AIR LEAK IN EMERGENCY EXIT OVER LEFT WING.  EMERGENCY EXIT WAS REMOVED AND RESEARTED BY SOUTHEAST MECHANIC, WHO WAS A PASSENGER.  PRESSURIZATION CHECK WAS GOOD AND AIRCRAFT DEPARTED.  INCIDENT CE2000IAC016 IS CONSIDERED CLOSED WITH THIS REPORT.",DOUG,DC932,,"OPDEF, Other Than Pi;5220",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000129002829I,2.0,,Unknown,Unknown,UNK,Unknown,Unknown,2000,1,"ON SATURDAY, JANUARY 29, 2000, UPOM TAKEOFF FROM THE ROCHESTER INTERNATIONAL AIRPORT (ROC), THE RIGHT HAND NOSE LAN

ON SATURDAY, JANUARY 29, 2000, UPOM TAKEOFF FROM THE ROCHESTER INTERNATIONAL AIRPORT (ROC), THE RIGHT HAND NOSE LANDING GEAR TIRE BLEW OUT OF N27314, A CONADAIR REGIOAL JET, OPERATED BY MESA AIRLINES, INC. THE AIRCRAFT RETURNED TO LAND ON RUNWAY 22 WITHOUT INCIDENT.  THE ARFF RESPONDED AND TOWED THE AIRCRAFT TO THE RAMP.  CAMPANY MAINTENANCE CREWS ARRIVED AND CHANGED BOTH NOSE LANDING GEAR TIRES AND FOUND DAMAGE TO THE INBOARD LEFT HAND PORTION OF THE WING FAIRING.  DAMAGE WAS FOUND TO BE WITHIN LIMITS FOR 50 HOURS OF CONTINUED OPERATIONS PER APPLICABLE MAINTENANCE MANUAL, 58-82-053.  THIS INCIDENT IS CONSIDERED CLOSED.",CNDAIR,CL6002B19,,"Miscellaneous, Other;3244",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000121003159I,2.0,,Unknown,Night,UNK,Unknown,Unknown,2000,1,"AMERICAN AIRLINES FLIGHT 159, B-757, ON FLIGHT FROM NEWARK, NJ, TO LOS ANGELES, CA, DIVERTED INTO LINCOLN, NE, DUE

AMERICAN AIRLINES FLIGHT 159, B-757, ON FLIGHT FROM NEWARK, NJ, TO LOS ANGELES, CA, DIVERTED INTO LINCOLN, NE, DUE TO SMOKE IN THE COCKPIT. THE NUMBER TWO ROLLS ROYCE RB211-535 ENGINE SHUT DOWN DUE TO LOSS OF OIL PRESSURE AND QUANTITY.  MAINTENANCE INDICATED THE RADIAL DRIVE STEADY BEARING FAILED.  THIS INCIDENT IS CLOSED WITH THIS REPORT.",BOEING,757223,,"OPDEF, Other Than Pi;7200",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000121002479I,2.0,,Unknown,Daylight,UNK,Unknown,Unknown,2000,1,"ON FRIDAY, JANUARY 21, 2000 AT 1831 LOCAL, A CONTINENTAL EXPRESS, INC., EMB-120, N15713, REPORTED AND UNSAFT NOSE G

ON FRIDAY, JANUARY 21, 2000 AT 1831 LOCAL, A CONTINENTAL EXPRESS, INC., EMB-120, N15713, REPORTED AND UNSAFT NOSE GEAR LIGHT INBOUND TO SYR. THE ARFF RESPONDED AND THE AIRCRAFT TAXIED TO THE RAMP WITHOUT INCIDENT.  CONTRACT MAINTENANCE (EXEC AIR) WAS CONTACTED TO INSTALL THE GEAR PINS AND FERRY THE AIRCRAFT TO CLEVELAND.  COMPANY MAINTENANCE PERSONNEL INSPECTED THE GEAR SYSTEM AND REPLACED THE LANDING GEAR HANDLE, NOSE GEAR DOOR SEQUENCE VALVE AND THE UP LOCK ACTUATOR IAW EMB-120 MAINTENACE MANUAL 32-32-04/14.  THE AIRCRAFT THEN WAS RETURNED TO SERVICE.  THE INCIDENT IS CONSIDERED CLOSED.",EMB,EMB120ER,,"OPDEF, Other Than Pi;3234",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000124003139I,2.0,,IMC,Daylight,UNK,Unknown,5000+,2000,1,"AIRCRAFT DIVERTED TO SACRAMENTO, CA DUE TO LOSS OF ENGINE OIL ON THE RIGHT ENGINE. THE RIGHT ENGINE STARTER HAD FAI

AIRCRAFT DIVERTED TO SACRAMENTO, CA DUE TO LOSS OF ENGINE OIL ON THE RIGHT ENGINE. THE RIGHT ENGINE STARTER HAD FAILED CAUSING THE LOSS OF OIL THRU THE GEARBOX.  THE FAILURE OF THE STARTER LIBERATED A PIECE THROUGH THE ENGINE COWLING FAN DUCT.  THE STARTER WAS REPLACED IN SACRAMENTO AND THE AIRCRAFT WAS FERREID KTO SEATTLE, WA TO REPAIR THE COWLING.",BOEING,737790,,"OPDEF, Other Than Pi;8011",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000124023279I,0.0,,Unknown,Night,UNK,Maintenance,Unknown,2000,1,"(-23)DURING ENGINE RUN-UP BY MAINTENANCE PERSONNEL, AIRCRAFT JUMPED THE CHOCKS AND HEADED FORWARD. THE RIGHT WING S

(-23)DURING ENGINE RUN-UP BY MAINTENANCE PERSONNEL, AIRCRAFT JUMPED THE CHOCKS AND HEADED FORWARD. THE RIGHT WING STRUCK A PICKUP SERVICE TRUCK USED BY THE AIRLINE.  THERE WERE TWO INDIVIDUALS IN THE TRUCK AT THE TIME OF THE COLLISION.  THE TRUCK CAB WAS DESTROYED.  NO INJURIES REPORTED.",EMB,EMB145,,"Miscellaneous, Other;Other, Miscellaneous",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
20000119001049I,2.0,,VMC,Daylight,UNK,Unknown,Unknown,2000,1,"(-23) ON WEDNESDAY, JANUARY 19, 2000, AT APPROXIMATELY 0916 LOCAL, A UNITED AIRLINES B-727, N729RU, EXPERIENCED A #

(-23) ON WEDNESDAY, JANUARY 19, 2000, AT APPROXIMATELY 0916 LOCAL, A UNITED AIRLINES B-727, N729RU, EXPERIENCED A #3 ENGINE FIRE WARNING AT V1 ON TAKEOFF FROM BUFFALO NIAGARA INTERNATIONAL AIRPORT, BUFFALO, NY.  THE CREW SHUT DOWN THE ENGINE AND THE FIRE WARNING LIGHT WENT OUT.  THE CREW DECLARED AN EMERGENCY AND RETURNED TO BUF WITHOUT FURTHER INCIDENT.  MAINTENANCE REPORTED A BLEED AIR DUCT FAILURE.  THERE WAS NO ACTUAL FIRE AND NO INJURIES REPORTED.  8TH STAGE BLEED AIR DUCT REPLACED AND COWLING BLOWOUT PANEL REPLACED.  THIS INCIDENT IS CONSIDERED CLOSED.",BOEING,727222,,"OPDEF, Other Than Pi;3610",,0.613386003922689,0.0,0.0,0.0,stable,unknown,unknown,unknown,ASIAS
